Sample.DateTime	Year	Month	Day	Hour	Minute	People	Notes.Dissolved.Oxygen	Source.Dissolved.Oxygen	Dissolved.Oxygen.Sensor.Issue	0m	0.1m	0.5m	0.5	1m	1.5m	2m	2.5m	3m	3.5m	4m	4.5m	5m	5.5m	6m	6.5m	7m	7.5m	8m	8.5m	9m	9.5m	10m	10.5m	11m	11.5m	12m	12.5m	13m	13.5m	14m	14.5m	15m	15.5m	16m	16.5m	17m	17.5m	18m	18.5m	19m	19.5m	20m	20.5m	21m	21.5m	22m	22.5m	23m	23.5m	24m	24.5m	25m	Bottom.Epi.m	Top.Hypo.m	DO.Span.mg.L	DO.Diff.mg.L	s.DO.Diff.mg.L	Epi.Length.m	Epi.Span.mg.L	Epi.Mean.DO.mg.L	Epi.sd.DO.mg.L	Epi.Slope.m.mg.L	Epi.Intercept.m	Epi.R2.adj	Meta.Length.m	Meta.Span.mg.L	Meta.Mean.DO.mg.L	Meta.sd.DO.mg.L	Meta.Slope.m.mg.L	Meta.Intercept.m	Meta.R2.adj	Hypo.Length.m	Hypo.Span.mg.L	Hypo.Mean.DO.mg.L	Hypo.sd.DO.mg.L	Hypo.Slope.m.mg.L	Hypo.Intercept.m	Hypo.R2.adj	Bottom.Mixed.m	Is.Mixed	Bottom.Oxic	Top.Anoxic	Is.Lake.Anoxic	Sample.DO.Status
1995-05-09 00:00:00	1995	5	9	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	13.2	NA	NA	NA	13.1	NA	13.2	NA	13.2	NA	13.2	NA	13.1	NA	13.1	NA	13.1	NA	13.1	NA	13.1	NA	13.1	NA	13.1	NA	13.1	NA	13.1	NA	13	NA	13	NA	13.1	NA	13	NA	13	NA	NA	NA	13	NA	12.9	NA	13.1	NA	13	NA	NA	NA	NA	3.5	14.5	0.299999999999999	0.1625	0.0812843334052929	3.5	0.0999999999999996	13.175	0.0499999999999998	-99.9999999999951	1315.99999999993	-0.399999999999998	11	0.199999999999999	13.1	0.0447213595499956	110.000000000001	-1450.00000000002	0.393939393939397	10.5	0.199999999999999	13.0125	0.0640869944461653	300.000000000019	-3922.75000000025	-0.139613526570049	23	1	23	NA	FALSE	oxic
1995-05-23 00:00:00	1995	5	23	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	9.2	NA	NA	NA	9.2	NA	9.3	NA	9.3	NA	9.5	NA	9.6	NA	9.6	NA	9.5	NA	9.4	NA	9.2	NA	9.1	NA	9.1	NA	9.1	NA	9	NA	8.9	NA	9.3	NA	9.3	NA	9.1	NA	9	NA	7.3	NA	8.3	NA	NA	8.4	8	7.4	NA	NA	NA	NA	NA	14.5	14.5	2.3	0.81111111111111	0.805881160249105	14.5	0.699999999999999	9.26666666666667	0.216024689946929	38.3561643835624	-362.433789954345	0.236793563579273	0	NA	NA	NA	NA	NA	NA	10.5	2	8.45555555555556	0.776387646590141	4.46564885496184	-56.7595419847329	0.55237757634071	18.5	1	22.5	NA	FALSE	oxic
1995-06-06 00:00:00	1995	6	6	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	10.1	NA	NA	NA	10.1	NA	10.3	NA	10.3	NA	10.2	NA	9.4	NA	9.2	NA	9.5	NA	9.1	NA	8.9	NA	9	NA	8.5	NA	7.7	NA	6.8	NA	5.9	NA	5.8	NA	4.9	NA	4.7	NA	3.5	NA	3.2	NA	2	NA	0.9	NA	0.6	NA	0.5	NA	0.3	NA	NA	14.5	14.5	10	6.36	2.43896282926569	14.5	4.4	9	1.31203222956929	3.77867746288799	-41.0080971659919	0.799363230130864	0	NA	NA	NA	NA	NA	NA	10.5	5.5	2.64	2.05599394724574	1.50273224043716	-23.4672131147541	0.955331625581862	11.5	0	15.5	20.5	TRUE	oxic
1995-06-21 00:00:00	1995	6	21	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	12.8	NA	NA	NA	15.6	NA	18.2	NA	15.1	NA	13	NA	9.7	NA	8.1	NA	7	NA	6.3	NA	6.2	NA	5.5	NA	5.1	NA	4.7	NA	3.8	NA	3.3	NA	1.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	12.5	16.6	11.1666666666667	3.12932367559936	5.5	8.5	14.0666666666667	2.9090662877746	1.32575757575757	-21.1489898989899	0.0441322109433031	7	3.4	6.12857142857143	1.16721075748168	1.89189189189189	-20.5945945945946	0.948409646976582	12.5	2.2	2.9	1.15325625946708	0.909090909090906	-16.6363636363636	0.819548872180454	NA	0	11.5	NA	FALSE	hypoxic
1995-07-06 00:00:00	1995	7	6	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	8.1	NA	NA	NA	8	NA	8.1	NA	8	NA	8.1	NA	8.1	NA	8.1	NA	8.1	NA	8.1	NA	8	NA	8.1	NA	7.9	NA	2.2	NA	1.8	NA	0.6	NA	0.3	NA	0.2	NA	0.3	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	NA	0.1	11.5	11.5	8	7.61547619047619	0.682325873808548	11.5	0.199999999999999	8.05833333333333	0.0668557923421519	190.666666666646	-1541.95555555539	-0.0119947848761401	0	NA	NA	NA	NA	NA	NA	13.5	2.1	0.442857142857143	0.679042635700367	8.58490566037735	-22.3018867924528	0.474539243724181	11.5	0	11.5	13.5	TRUE	hypoxic
1995-07-18 00:00:00	1995	7	18	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	8.1	NA	NA	NA	8.1	NA	8.1	NA	8.1	NA	8.1	NA	8.1	NA	8.1	NA	8	NA	8	NA	2.3	NA	1	NA	0.5	NA	0.5	NA	0.4	NA	0.4	NA	0.4	NA	0.4	NA	0.4	NA	0.4	NA	0.4	NA	0.4	NA	0.4	NA	0.4	NA	0.4	NA	0.4	NA	NA	8.5	9.5	7.7	7.62444444444444	0.161368158382261	8.5	0.0999999999999996	8.07777777777778	0.0440958551844097	85.7142857142873	-696.380952380965	0.457142857142858	1	NA	NA	NA	NA	NA	NA	15.5	0.6	0.453333333333333	0.155226409142382	52.8301886792453	-40.9496855345912	0.243349042262087	8.5	0	8.5	10.5	TRUE	anoxic
1995-08-02 00:00:00	1995	8	2	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	7.2	NA	NA	NA	7.1	NA	7.1	NA	7.1	NA	7.1	NA	7.1	NA	7	NA	1.5	NA	0.6	NA	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	0.2	NA	6.5	8.5	7	6.9	0.0577350269189626	6.5	0.2	7.1	0.0577350269189626	46.6666666666672	-334.333333333337	0.571428571428579	2	0.9	1.05	0.636396103067893	1.11111111111111	-8.66666666666667	NA	16.5	0	0.2	0	-600444023970190208	120088804794038032	0.47353047253525	6.5	0	6.5	7.5	TRUE	anoxic
1995-08-14 00:00:00	1995	8	14	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	7.5	NA	NA	NA	7.6	NA	7.5	NA	7.5	NA	7.4	NA	7.3	NA	7.1	NA	2	0.5	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	NA	NA	NA	6.5	8.25	7.4	7.21428571428571	0.167616341969505	6.5	0.5	7.41428571428571	0.167616341969505	14.7368421052632	-112.263157894737	0.717796610169486	1.75	1.8	0.9	0.964365076099295	0.555555555555555	-8	0.741935483870968	16.75	0	0.2	0	95276152116815808	-19055230423363192	0.48613316957955	6.5	0	6.5	7.25	TRUE	anoxic
1995-08-30 00:00:00	1995	8	30	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	8.3	NA	NA	NA	7.9	NA	7.8	NA	7.7	NA	7.6	NA	7.5	NA	7.4	NA	7.4	NA	6.6	3.7	0.8	0.6	0.5	0.5	0.5	0.4	0.4	0.4	0.4	NA	0.4	NA	0.4	NA	0.4	NA	0.4	NA	0.3	NA	0.3	NA	0.3	NA	0.3	NA	0.3	NA	0.3	NA	0.3	NA	NA	8.25	8.75	8	7.16777777777778	0.479717265658388	8.25	1.7	7.57777777777778	0.463081466314994	6.45161290322581	-52.8888888888889	0.817431532198371	0.5	NA	NA	NA	NA	NA	NA	16.25	0.5	0.41	0.125236618152662	48.3899233296824	-35.2398685651698	0.612758623541617	7.5	0	8.25	8.75	TRUE	anoxic
1995-09-11 00:00:00	1995	9	11	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	7.8	NA	NA	NA	7.6	NA	7.5	NA	7.4	NA	7.4	NA	7.4	NA	7.3	NA	7.3	NA	7.3	NA	7.2	NA	7.2	7.1	0.3	0.3	0.3	0.3	0.3	0.3	0.2	0.2	0.2	0.2	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	0.2	NA	NA	NA	NA	10.75	10.75	7.6	7.14166666666667	0.197341962763574	10.75	0.7	7.375	0.191287503750007	19.640522875817	-150.307189542484	0.875768129721686	0	NA	NA	NA	NA	NA	NA	14.25	0.1	0.233333333333333	0.0485071250072666	104.22181372549	-40.3462009803921	0.51519416191428	10.75	0	10.75	10.75	TRUE	anoxic
1995-09-25 00:00:00	1995	9	25	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	8	NA	NA	NA	7.7	NA	7.7	NA	7.8	NA	7.8	NA	7.7	NA	7.7	NA	7.6	NA	7.6	NA	7.6	NA	7.6	NA	7.6	NA	7.4	NA	7.3	3.4	0.4	0.2	0.3	NA	0.3	NA	0.3	NA	0.3	NA	0.3	NA	0.3	NA	0.3	NA	0.3	NA	0.2	NA	0.2	NA	NA	13.25	13.75	7.8	7.36666666666667	0.179386418603771	13.25	0.7	7.65	0.169841555121689	28.2608695652174	-222.695652173913	0.739555555555558	0.5	NA	NA	NA	NA	NA	NA	11.25	0.2	0.283333333333333	0.0577350269189626	125.426829268293	-54.1626016260163	0.145162858531842	13.25	1	13.25	13.75	TRUE	oxic
1995-10-11 00:00:00	1995	10	11	0	0	NTL-LTER Basecrew	NA	NTL-LTER: 1995-2020 Basecrew manual profiles, dt1 in EDI package ID knb-lter-ntl.29.29	FALSE	8.1	NA	NA	NA	8	NA	8	NA	7.9	NA	7.9	NA	7.8	NA	7.8	NA	7.8	NA	7.7	NA	7.6	NA	7.6	NA	7.6	NA	7.5	NA	7.5	NA	7.5	NA	7.5	NA	7.5	NA	7.5	NA	7.4	NA	7.4	0.3	0.3	0.3	0.3	0.3	0.3	0.2	NA	NA	NA	NA	NA	6.5	11.5	7.9	3.80857142857143	3.71442490581683	6.5	0.3	7.92857142857143	0.111269728052837	20.0000000000002	-161.57142857143	0.930769230769234	5	0.2	7.66	0.0894427190999917	19.9999999999999	-162.199999999999	0.708333333333331	13.5	7.3	4.12	3.71275792754812	1.09141560513132	-22.5632989598077	0.681688239950479	17.5	1	19.25	19.25	TRUE	oxic
