Date	pH	Dissolved inorganic carbon	Total inorganic carbon	Dissolved organic carbon	Total organic carbon	Nitrate plus nitrite	Ammonium	Total phosphorus	Soluble reactive phosphorus
2000-01-24	8.34	50.88	52.04	7.39	8.15	0.267	0.568	0.118	0.098
2000-02-28	8.41	48.49	29.09	5.49	3.41	0.328	0.473	0.117	0.095
2000-03-13	8.34	48.37	48.78	5.25	5.65	0.408	0.484	0.112	0.09
2000-04-10	8.47	48.16	48.35	5.83	5.59	0.469	0.234	0.094	0.053
2000-04-25	NA	NA	NA	NA	NA	0.471	0.245	0.079	0.056
2000-05-09	8.6	48.05	48.86	6.62	6.54	0.469	0.187	0.063	0.032
2000-05-22	NA	NA	NA	NA	NA	0.494	0.288	0.079	0.057
2000-06-06	8.45	45.83	46.14	5.96	5.83	0.504	0.243	0.096	0.07
2000-06-19	NA	NA	NA	NA	NA	0.479	0.058	0.096	0.053
2000-07-03	8.55	43.34	43.4	6.26	6.12	0.414	0.081	0.087	0.05
2000-07-17	NA	NA	NA	NA	NA	0.015	0	0.045	0.002
2000-07-31	8.99	38.69	39.6	6.74	7.13	0.012	0	0.049	0
2000-08-16	NA	NA	NA	NA	NA	0	0.015	0.039	0
2000-08-28	8.89	39.87	40.84	5.67	5.51	0	0.014	0.153	0.002
2000-09-25	8.57	NA	42.5	NA	5.54	0.012	0.223	0.087	0.055
2000-10-24	8.23	45.44	45.4	5.46	5.34	0.052	0.472	0.132	0.115
2000-11-28	8.29	45.29	45.95	5.66	5.76	0.21	0.608	0.137	0.124
2001-01-17	8.09	47.64	47.31	5.68	5.55	0.673	0.249	0.137	0.126
2001-03-07	8.34	46.33	46.65	5.9	5.86	0.838	0.013	0.14	0.093
2001-04-10	NA	NA	NA	NA	NA	0.801	0.046	0.111	0.049
2001-04-23	8.52	47.34	46.94	6	5.44	0.804	0.051	0.092	0.056
2001-05-07	8.44	45.82	47.3	5.74	5.72	0.769	0.119	0.092	0.073
2001-05-21	NA	NA	NA	NA	NA	0.749	0.131	0.092	0.071
2001-06-04	8.42	45.15	46.95	5.16	4.98	0.673	0.169	0.098	0.074
2001-06-18	NA	NA	NA	NA	NA	0.595	0.093	0.09	0.061
2001-07-02	8.94	43.34	43.6	5.91	5.99	0.193	0.017	0.064	0.002
2001-07-16	NA	NA	NA	NA	NA	0	0.017	0.024	0.073
2001-07-30	9.09	39.47	40.09	6.72	6.14	0	0	0.036	0.003
2001-08-13	NA	NA	NA	NA	NA	0.011	0.013	0.037	0.002
2001-08-27	8.61	37.1	37.64	5.68	6	0.011	0.013	0.048	0
2001-09-26	8.58	43.25	43.71	5.32	5.54	0.019	0.174	0.096	0.048
2001-10-22	8.57	46.41	47.01	5.58	5.78	0.037	0.597	0.147	0.128
2001-11-26	8.65	NA	48.07	NA	5.54	0.191	0.663	0.136	0.118
2002-03-28	8.5	46.51	47.97	5.46	5.56	0.865	0	0.103	0.068
2002-04-08	NA	NA	NA	NA	NA	0.991	0.019	0.098	0.056
2002-04-24	8.65	46.35	47.55	5.35	5.48	0.941	0.048	0.076	0.055
2002-05-06	NA	NA	NA	NA	NA	0.888	0.12	0.086	0.065
2002-05-20	8.5	48.13	47.95	5.45	5.17	0.884	0.146	0.097	0.072
2002-06-03	NA	NA	NA	NA	NA	0.8	0.13	0.081	0.063
2002-06-18	8.61	46.96	47.12	5.35	5.46	0.799	0.126	0.069	0.052
2002-07-01	NA	NA	NA	NA	NA	0.507	0.013	0.033	0
2002-07-15	9.03	38.27	38.56	6.22	5.8	0.153	0	0.023	0
2002-07-26	NA	NA	NA	NA	NA	0.048	0.016	0.027	NA
2002-08-12	9.34	39.62	40.12	6.06	6.37	0	0	0.023	0
2002-08-26	NA	NA	NA	NA	NA	0	0.014	0.021	0
2002-09-23	8.95	40.46	40.48	7	6.99	0.118	0	0.027	0
2002-10-21	8	44.93	44.6	5.76	5.24	0	0.389	0.126	0.099
2002-11-18	7.58	45.54	45.6	5.46	5.94	0.116	0.411	0.099	0.087
2003-01-21	8.73	48.69	49.69	6.01	6.05	0.298	0.368	0.091	0.078
2003-04-03	NA	NA	NA	NA	NA	0.404	0.336	0.083	0.066
2003-04-14	8.69	46.06	46.56	5.44	5.24	0.45	0.244	0.084	0.05
2003-04-28	NA	NA	NA	NA	NA	0.444	0.134	0.051	0.031
2003-05-13	8.76	47.19	47.31	5.73	5.67	0.45	0.21	0.068	0.039
2003-05-27	NA	NA	NA	NA	NA	NA	NA	NA	0.03
2003-06-09	9.16	46.61	47.76	6.24	6.35	0.37	0.031	0.039	0.006
2003-06-23	NA	NA	NA	NA	NA	0.166	0.015	0.028	0.002
2003-07-07	9.34	NA	41.9	NA	5.99	0.121	0.047	0.023	0
2003-07-24	NA	NA	NA	NA	NA	0.127	0.055	0.023	0.004
2003-08-04	9.53	42.53	42.62	7.13	6.65	0.08	0	0.02	0.003
2003-08-18	NA	NA	NA	NA	NA	0	0	0.02	0
2003-09-02	8.92	40.75	41.04	5.79	5.67	0	0	0.013	0
2003-09-29	8.67	42.64	42.93	5.57	5.79	0.005	0.132	0.046	0.021
2003-10-27	8.31	49.46	49.22	5.66	5.9	0	0.452	0.129	0.103
2003-11-25	8.37	48.56	48.46	5.81	5.92	0.122	0.477	0.122	0.1
2004-02-03	8.35	45.63	43.1	5.55	5.1	0.319	0.413	0.103	0.096
2004-03-29	NA	NA	NA	NA	NA	0.567	0.237	0.154	0.061
2004-04-12	8.58	46.14	45.94	5.92	5.73	0.531	0.057	0.091	0.04
2004-04-28	NA	NA	NA	NA	NA	0.539	0.125	0.068	0.051
2004-05-10	8.52	47.65	47.31	6.01	5.85	0.54	0.19	0.081	0.055
2004-05-24	NA	NA	NA	NA	NA	0.495	0.139	0.071	0.047
2004-06-07	8.37	43.64	43.72	5.55	5.61	0.567	0.139	0.075	0.054
2004-06-21	NA	NA	NA	NA	NA	0.488	0.073	0.062	0.035
2004-07-06	8.89	41.3	41	6.24	6.4	0.278	0.033	0.05	0.018
2004-07-19	NA	NA	NA	NA	NA	0.035	0.021	0.03	0
2004-08-03	9.08	40.49	40.51	6.66	6.89	0	0	0.023	0
2004-08-16	NA	NA	NA	NA	NA	0	0.02	0.037	0
2004-09-07	8.99	NA	NA	NA	NA	0	0	0.02	0
2004-10-05	8.69	42.16	42.79	5.95	6.16	0	0.08	0.069	0.029
2004-11-03	8.31	43.91	NA	5.76	NA	0.043	0.475	0.124	0.104
2005-01-31	8.06	48.67	48.78	5.95	5.81	0.307	0.515	0.118	0.096
2005-04-15	8.35	44.99	45.17	5.62	5.74	0.929	0.08	0.146	0.102
2005-04-25	NA	NA	NA	NA	NA	0.877	0.092	0.12	0.091
2005-05-09	8.16	44.98	44.6	6.12	5.59	0.824	0.134	0.137	0.095
2005-05-23	NA	NA	NA	NA	NA	0.812	0.14	0.108	0.087
2005-06-06	8.69	44.11	43.73	6.65	6.25	0.662	0.064	0.082	0.056
2005-06-20	NA	NA	NA	NA	NA	0.57	0.054	0.079	0.038
2005-07-05	9.11	43.9	43.73	7.58	8.09	0.135	0.017	0.052	0
2005-07-18	NA	NA	NA	NA	NA	0	0	0.047	0
2005-08-01	9.14	38.99	39.49	7.6	7.62	0	0	0.039	0.002
2005-08-15	NA	NA	NA	NA	NA	0	0.02	0.023	0.004
2005-08-29	9.08	37.96	38.08	7.15	8.01	0	0	0.029	0
2005-09-26	8.89	42.5	41.89	6.71	6.93	0	0.037	0.028	0
2005-11-02	8.25	NA	45.56	NA	6.14	0	0.414	0.162	0.141
2005-11-30	8.14	NA	NA	NA	NA	0.085	0.492	0.156	0.133
2006-03-06	8.32	47.86	47.52	7.41	9.55	0.264	0.515	0.148	0.132
2006-04-04	NA	NA	NA	NA	NA	0.322	0.48	0.143	0.123
