Date	Chlorophyll-a
2000-01-24	5.4
2000-02-28	2.8
2000-03-13	3
2000-03-29	11.4
2000-04-10	9.6
2000-04-25	2.6
2000-05-09	3.3
2000-05-22	0.8
2000-06-06	3
2000-06-19	7.7
2000-07-03	3
2000-07-17	13.5
2000-07-31	14.1
2000-08-16	15.8
2000-08-28	23.8
2000-09-25	2.9
2000-10-24	1.1
2000-11-28	0.5
2001-01-17	0.7
2001-03-07	19.7
2001-04-10	11.5
2001-04-23	5.7
2001-05-07	0.4
2001-05-21	1
2001-06-04	1.8
2001-06-18	6.8
2001-07-02	25.5
2001-07-16	6.2
2001-07-30	15.4
2001-08-13	7.4
2001-08-27	13
2001-09-12	11.5
2001-09-26	10.3
2001-10-09	9.6
2001-10-22	1
2001-11-06	0.3
2001-11-26	1.9
2002-02-20	NA
2002-02-28	2.3
2002-03-28	14.6
2002-04-08	10.5
2002-04-24	NA
2002-05-06	NA
2002-05-20	NA
2002-06-03	NA
2002-06-18	NA
2002-07-15	NA
2002-07-26	NA
2002-08-12	NA
2002-08-26	NA
2002-09-23	NA
2002-10-21	NA
2002-11-18	NA
2003-01-21	NA
2003-04-03	NA
2003-04-14	NA
2003-04-28	NA
2003-05-13	NA
2003-05-27	NA
2003-06-09	NA
2003-06-23	NA
2003-07-07	NA
2003-07-24	NA
2003-08-04	NA
2003-08-18	NA
2003-09-02	NA
2003-09-29	NA
2003-10-27	NA
2003-11-25	NA
2004-02-03	NA
2004-03-29	NA
2004-04-12	NA
2004-04-28	NA
2004-05-10	NA
2004-05-24	NA
2004-06-07	NA
2004-06-21	NA
2004-07-06	NA
2004-07-19	NA
2004-08-03	NA
2004-08-16	NA
2004-09-07	NA
2004-10-05	NA
2004-11-03	NA
2005-01-31	0.8
2005-04-15	9.6
2005-04-25	5.8
2005-05-09	0.9
2005-05-23	1.4
2005-06-06	1.5
2005-06-20	5.1
2005-07-05	9.6
2005-07-18	9.2
2005-08-01	5.5
2005-08-15	2.2
2005-08-29	2
2005-09-26	3.5
2005-11-02	2.3
2005-11-30	0.9
2006-03-06	1.7
2006-04-04	1.6
2006-04-17	2.4
2006-05-02	1.3
2006-05-15	0.6
2006-05-30	2.4
2006-06-12	3.4
2006-06-26	6.4
2006-07-10	2.5
2006-07-24	6.7
2006-08-07	4.9
2006-08-21	3.4
2006-09-06	5.4
2006-10-02	10.9
2006-10-30	1.8
2006-11-27	1.2
2007-01-03	0.7
2007-02-19	3.1
2007-04-02	3.8
2007-04-16	11
2007-04-30	6.6
2007-05-14	0.3
2007-05-29	1.2
2007-06-11	4
2007-06-25	4.9
2007-07-09	4.1
2007-07-23	6.3
2007-08-06	6.6
2007-08-20	4.9
2007-09-04	0.8
2007-10-01	9.5
2007-10-29	1.4
2007-11-26	0.8
2008-02-13	0.8
2008-04-14	15.8
2008-04-28	7.9
2008-05-12	2.6
2008-05-28	0.9
2008-06-09	1.5
2008-06-23	5.6
2008-07-07	8.8
2008-07-21	11.3
2008-08-04	16.4
2008-08-18	11.4
2008-09-05	7
2008-09-29	8.9
2008-10-29	1
2009-01-21	0.6
2009-04-15	6.2
2009-04-27	5.7
2009-05-11	2
2009-05-28	1.3
2009-06-09	1.2
2009-06-23	1.8
2009-07-06	11.3
2009-07-20	9.4
