Date	Dissolved oxygen
2000-01-24	15
2000-02-28	14.3
2000-03-13	13
2000-03-29	13.6
2000-04-10	13.4
2000-04-25	11.9
2000-05-09	10.2
2000-05-22	9.3
2000-06-06	9
2000-06-19	6.7
2000-07-03	5.9
2000-07-17	1.3
2000-07-31	0.2
2000-08-16	0.2
2000-08-28	0.1
2000-09-25	6.4
2000-10-24	7
2000-11-28	11.5
2001-01-17	9
2001-03-07	5.7
2001-04-10	14.8
2001-04-23	13.6
2001-05-07	10.5
2001-05-21	8.6
2001-06-04	9
2001-06-18	5.5
2001-07-02	4.1
2001-07-16	0.3
2001-07-30	0.4
2001-08-13	0.6
2001-08-27	1
2001-09-26	6.9
2001-10-22	7
2001-11-26	10.3
2002-03-28	17.6
2002-04-08	18.2
2002-04-24	13.4
2002-05-06	11.5
2002-05-20	10.4
2002-06-03	9.7
2002-06-18	8.1
2002-07-01	5.6
2002-07-15	2.1
2002-07-26	0.5
2002-08-12	0
2002-08-26	0.6
2002-09-23	7.6
2002-10-21	8.2
2002-11-18	11.2
2003-01-21	15.1
2003-04-03	14.9
2003-04-14	14.8
2003-04-28	13.6
2003-05-13	10.9
2003-05-27	9.8
2003-06-09	8.1
2003-06-23	6.5
2003-07-07	3.3
2003-07-24	0.4
2003-08-04	0.1
2003-08-18	0.1
2003-09-02	0.1
2003-09-29	7.8
2003-10-27	8.6
2003-11-25	11.1
2004-02-03	13.3
2004-03-29	14
2004-04-12	15.1
2004-04-28	11.8
2004-05-10	10
2004-05-24	9.8
2004-06-07	7.3
2004-06-21	5.9
2004-07-19	1
2004-08-03	0.2
2004-08-16	0.4
2004-09-07	1.8
2004-10-05	9.6
2004-11-03	8.8
2005-01-31	12.5
2005-04-15	11.4
2005-04-25	10.1
2005-05-09	11.2
2005-05-23	10.5
2005-06-06	7.5
2005-06-20	6.1
2005-07-05	2.5
2005-07-18	0.5
2005-08-01	0.1
2005-08-15	0.1
2005-08-29	0.1
2005-09-26	7.3
2005-11-02	5.4
2005-11-30	11.2
2006-03-06	14.1
2006-04-04	13.4
2006-04-17	13.3
2006-05-02	11.9
2006-05-15	10.4
2006-05-30	9
2006-06-12	6.9
2006-06-15	7.6
2006-06-26	5.1
2006-07-10	1.5
2006-07-24	0.5
2006-07-25	0.4
2006-08-01	0.5
2006-08-03	0.4
2006-08-07	0.1
2006-08-08	0.3
2006-08-10	0.1
2006-08-15	0.2
2006-08-18	1.6
2006-08-21	0.1
2006-08-22	0.2
2006-08-30	0.2
2006-09-01	0.3
2006-09-06	0.1
2006-10-02	7.5
2006-10-30	9.8
2006-11-27	11.1
2007-01-03	14
2007-02-19	14.3
2007-04-02	13.7
2007-04-16	14.2
2007-04-30	14.5
2007-05-14	2
2007-05-29	8.8
2007-06-11	7.3
2007-06-25	5.4
2007-07-09	2.6
2007-07-23	0.1
2007-08-06	0.2
2007-08-20	0.2
2007-09-04	0.3
2007-10-01	7.5
2007-10-29	7.6
2007-11-26	11.3
2008-02-13	11.8
2008-04-14	15.2
2008-04-28	15.2
2008-05-12	13.5
2008-05-28	10.6
2008-06-02	9.46
2008-06-09	9.1
2008-06-16	6.79
2008-06-23	5.2
2008-06-26	5.74
2008-07-02	3.8
2008-07-07	3
