Date	Chloride	Sulfate	Calcium	Magnesium	Sodium	Potassium	Iron	Manganese
2000-01-24	36.61	19.15	35.84	33.69	16.37	3.42	0	0
2000-04-10	36.17	18.61	37.27	33.32	16.31	3.47	0.02	0.07
2000-07-03	32.14	17	33.07	28.82	15.66	3.46	0	0
2000-10-24	33.3	17.51	32.01	32.77	16.4	3.55	0	0.01
2001-01-17	31.94	17.03	34.7	32.33	15.94	3.64	0	0
2001-04-23	33.4	16.61	36.72	32.37	16.83	3.34	0	0
2001-07-30	33.38	16.17	37.05	32.71	16.81	3.46	0	0
2001-10-22	32.12	15.37	34.86	31.89	15.87	3.56	0.02	0
2002-04-24	31.29	16.71	37.6	31.7	16.1	3.73	0	0
2002-07-15	31.13	16.31	30.4	29.5	15.3	3.5	0	0
2003-01-21	37.75	20.18	34.45	35.36	15.92	4.34	0.01	0
2003-04-14	36.83	18.31	32.59	31.62	14.86	3.38	0.02	0.02
2003-08-04	37.29	17.81	30.64	34.96	15.97	3.28	0.01	0
2003-10-27	38.11	18.1	31.05	36.03	16.73	3.59	0.01	0.03
2004-02-03	38.3	19.64	35.9	37.2	18.4	3.08	0	0
2004-04-12	38.01	19.23	34.9	34.5	17.9	2.75	0	0
2004-08-03	38.31	18.14	28.8	32.1	15.8	2.77	0	0
2004-11-03	21.6	10.4	30.4	31.4	13.2	3.39	0	0.01
2005-01-31	38.16	20.2	34.7	33.5	16.5	2.99	0	0
2005-04-15	43.1	20.83	34.9	32.7	18.1	3.3	0	0
2005-08-01	39.75	18.44	26	30.9	17.8	3.34	0.01	0.01
2005-11-02	40.47	18.92	31.7	34.5	19.9	3.53	0.01	0.03
2006-03-06	45.52	20.98	33.76	34.36	18.99	3.26	0.01	0.02
2006-04-17	45.18	20.83	34.79	34.59	19.44	3.33	0	0.01
2006-08-07	40.83	19.91	31.9	32.8	17.82	2.95	0	0
2006-10-30	40.89	19.37	34.3	33.7	18.3	3.22	0	0
2007-01-03	41.09	19.33	38	36.5	21	3.6	0	0
2007-02-19	39.61	19.23	38.8	36.8	21.2	3.5	0	0
2007-04-16	39.34	19.03	37.9	34.7	20.3	3.49	0	0
2007-08-06	40.72	18.33	28.6	34	20.3	3.05	0	0
2007-10-29	39.33	18.68	33.6	33.9	19.7	3.38	0.06	0
2008-02-13	40.59	19.3	34.5	32.7	18.8	3.12	0	0
2008-04-14	44.96	18.52	39.1	33.1	21.5	3.06	0	0
2008-08-04	39.19	16.91	28.7	27	17	2.83	0	0
2008-10-29	40.39	15.93	27.9	26.3	16.2	2.7	0	0
2009-01-21	43.51	17.9	35.7	31.7	19.2	3.08	0	0
2009-04-15	43.91	16.63	41.1	32.2	21.4	3.45	0	0
2009-08-05	44.21	18.06	33.3	33.1	21.8	3.53	0	0.01
2009-10-28	24.52	8.29	33.1	32.2	20.8	3.59	0.01	0
2010-02-01	46.73	19.16	NA	32.6	21.1	3.44	0	0
2010-04-13	46.34	18.53	43.1	35.8	23.4	3.43	0	0
2010-08-03	43.25	16.37	26.4	30.4	19.9	3.09	0	0
2010-11-09	44.06	16.94	32.6	31.8	20.1	3.14	0	0
2011-01-19	45.49	17.52	37.3	34.6	22.1	4.11	0	0
2011-05-17	45.99	18.22	36.9	30.8	20.5	3.07	0	0
2011-08-04	46.37	17.5	34.88	31.88	21.53	3.09	0	0.01
2011-10-31	47.27	16.16	NA	NA	NA	NA	NA	NA
2012-02-22	49.02	18.83	34.87	33.25	22.44	3.14	0	0
2012-04-17	48.66	18.34	35.45	32.85	22.28	3.02	0	0
2012-08-06	50.35	18.03	23.19	34.99	24.7	2.93	0.02	0
2012-10-29	49.2	16.1	29.97	32.6	20.14	2.49	0.04	0
2013-02-12	51.6	17.98	35.18	36.48	24.55	3.09	0	0
2013-04-29	52.2	19.73	35.56	33.38	24.83	3.1	0	0
2013-08-05	49.15	17.78	27.65	29.48	22.03	2.82	0	0
2013-10-29	50.71	18.35	30.73	32.21	23.65	2.91	0	0
2014-02-03	54.97	19.9	34.13	34.24	24.29	3.04	0	0
2014-04-29	53.23	18.99	35.19	33.15	23.98	3.1	0	0
2014-08-04	50.89	17.79	26.74	29.54	22.31	2.89	0.01	0
2014-10-30	51.39	17.98	34.19	31.61	24.1	2.98	0	0
2015-02-11	54.13	19.27	29.87	29.92	21.86	2.95	0	0
2015-04-24	52.44	18.7	46.4	33.68	27.67	2.94	0	0
2015-08-03	53.46	18.2	26.53	31.3	23.67	2.62	0	0
2015-11-02	53.32	19.99	31.23	31.63	22.63	2.85	0	0
2016-01-27	54.6	19.08	33.13	32.22	NA	2.78	0	0
2016-04-12	53.82	18.61	36.91	30.95	NA	2.72	0	0
2016-08-01	52.53	18.09	29.76	33.81	NA	2.89	0	0
2016-11-09	51.31	17.75	34.19	33.77	NA	2.95	0	0
2017-02-06	52.89	18.6	36.25	33.07	22.86	2.79	0	0
2017-04-17	55.98	16.54	35.62	30.3	22.97	2.68	0	0
2017-08-07	53.8	17.27	30.67	31.93	25.42	2.87	0	0
2017-11-02	54.98	15.38	34.06	33.13	25.38	2.98	0	0
2018-01-23	56.78	17.67	38.81	36.44	28.23	3.15	0	0.04
2018-08-06	54.26	15.48	26.85	32.16	27.31	3.04	0	0
2018-10-29	51.4	15.04	32.08	29.9	23.63	3.15	0	0
2019-02-21	53.59	16.27	29.38	30.85	23.53	3.12	0	0
2019-04-15	54.57	15.89	38.01	31.25	26.63	3.57	0	0
2019-08-05	51.78	14.26	32.98	30.76	25.73	3.68	0	0
2019-10-28	51.14	13.54	NA	NA	NA	NA	NA	NA
