Date	Phytoplankton-Bacillariophyta	Phytoplankton-Chlorophyta	Phytoplankton-Chrysophyta	Phytoplankton-Cryptophyta	Phytoplankton-Cyanophyta	Phytoplankton-Euglenophyta	Phytoplankton-Haptophyta	Phytoplankton-Miscellaneous	Phytoplankton-Pyrrhophyta	Phytoplankton-Xanthophyta	Phytoplankton-Total
2000-01-24	0.00121906	0.00548925	0.00493557	0.4263	0.03724933	0	0	0.017404	0	0	0.49259721
2000-02-28	0.00274288	0.00446047	0.00051666	0.17424956	0.00878838	0	0	0.01972453	0	0	0.21048248
2000-03-13	0.26899074	0.00943107	0.00141005	0.17252255	0.07669425	0	0	0.00978975	0	0	0.53883841
2000-03-29	1.09208459	0.06259587	0.04106253	0.12887659	0.01764926	0	0	0.017404	0.03668973	0	1.39636257
2000-04-10	0.89788777	0.05469641	0.12005929	0.54087479	0.10437571	0	0	0.0156636	0.02365225	0	1.75720982
2000-04-25	0.28761742	0.09823179	0.00948317	0.17847271	0.04516272	0	0	0.01508346	0.00110011	0	0.63515138
2000-05-10	0.04515176	0.16874211	0.00271099	0.03628196	0.24116748	0	0	0.01160267	0	0	0.50565697
2000-05-22	0.00974266	0.00922551	0	0.01437602	0.16849605	0.0121828	0	0.00986227	0.00176017	0	0.22564548
2000-06-06	0.02141984	0.13945165	0.00193674	0.07103177	0.74017753	0	0	0.00986227	0	0	0.9838798
2000-06-19	0.00145924	0.00352914	0	0.03080541	5.17767156	0	0	0.0156636	0	0	5.22912895
2000-07-03	0.00933703	0.00977502	0	0.07729744	1.76652084	0	0	0.0034808	0	0	1.86641113
2000-07-17	0.3429	0.00191719	0	0.02911889	14.39511242	0	0	0.02719375	0	0	14.79624225
2000-07-31	0.04939181	0.00809599	0	0.00240362	0.04620378	0	0	0.00232053	0	0	0.10841573
2000-08-16	0.02262494	0.04187972	0	0.00613029	7.09084806	0	0	0.00344455	0	0	7.16492756
2000-08-28	0.02265775	0.06882834	0	0.02971992	11.93042003	0	0	0.00362583	0.02270479	0	12.07795666
2000-09-25	0.29496642	0.06945774	0	0.00758791	1.24931427	0	0	0.0095722	0	0	1.63089854
2000-10-24	0.00308392	0.09010517	0	0.00373038	0.13648694	0	0	0.0021755	0	0	0.23558191
2001-01-17	0.00164573	0.00603444	0	0.02327767	0.01775227	0	0	0.00145033	0	0	0.05016044
2001-03-07	1.007	0.0288987	0	0.82880831	0.03657811	0	0	0.0069616	0	0	1.90824672
2001-04-10	1.63958614	0.04514162	0.01856426	0.1065	0.00785318	0	0	0.026106	0.0564788	0	1.90023
2001-04-23	0.02711433	0.02395736	0.05554095	0.2267	0.01633192	0	0	0.0017404	0.00366702	0	0.35505198
2001-05-07	0	0.00010065	0	0.02172652	0.00188954	0	0	0.0008702	0	0	0.02458691
2001-05-21	0.00068964	0.00951029	0	0.03581009	0.02846249	0	0	0.00580133	0.00066006	0	0.0809339
