Date	Secchi depth
2000-01-24	4.5
2000-02-28	8.8
2000-03-13	5
2000-03-29	2.5
2000-04-10	3.1
2000-04-25	6.2
2000-05-09	4.5
2000-05-22	5.5
2000-06-06	3
2000-06-19	4.1
2000-07-03	4
2000-07-17	1.3
2000-07-31	1.9
2000-08-16	1.4
2000-08-28	1.2
2000-09-25	2.4
2000-10-24	5.2
2000-11-28	4.3
2001-01-17	5.6
2001-03-07	2.5
2001-04-10	3
2001-04-23	2.5
2001-05-07	9
2001-05-21	4.3
2001-06-04	5.8
2001-06-18	3.4
2001-07-02	2
2001-07-16	1.8
2001-07-30	2
2001-08-13	1.4
2001-08-27	1.75
2001-09-26	1.3
2001-10-22	5.5
2001-11-26	3.1
2002-03-28	2.2
2002-04-08	2.5
2002-04-24	4.6
2002-05-06	6.3
2002-05-20	6.6
2002-06-03	4.9
2002-06-18	6.5
2002-07-01	2.3
2002-07-15	1.9
2002-07-26	1.6
2002-08-12	1.2
2002-08-26	1.7
2002-09-23	1.5
2002-10-21	3
2002-11-18	3.5
2003-01-21	10.2
2003-04-03	6.4
2003-04-14	3.2
2003-04-28	5.5
2003-05-13	6.6
2003-05-27	5
2003-06-09	4.2
2003-06-23	2
2003-07-07	4.9
2003-07-24	4.6
2003-08-04	2.4
2003-08-18	1.7
2003-09-02	2.3
2003-09-29	2
2003-10-27	6
2003-11-25	3.5
2004-02-03	5.2
2004-03-29	2.9
2004-04-12	2.7
2004-04-28	6.3
2004-05-10	10.1
2004-05-24	3
2004-06-07	5.5
2004-06-21	3.75
2004-07-06	2.6
2004-07-19	2.4
2004-08-03	2.3
2004-08-16	1.6
2004-09-07	2.2
2004-10-05	2.3
2004-11-03	4
2005-01-31	10.2
2005-04-15	2.2
2005-04-25	4
2005-05-09	7.5
2005-05-23	4.3
2005-06-06	5.5
2005-06-20	3.6
2005-07-05	1.6
2005-07-18	1.3
2005-08-01	2.6
2005-08-15	1.6
2005-08-29	2
2005-09-26	2.4
2005-11-02	4.5
2005-11-30	5.5
2006-03-06	7.8
2006-04-04	6.5
2006-04-17	6.4
2006-05-02	6.4
2006-05-15	5.2
2006-05-30	5.3
2006-06-12	4
2006-06-26	3
2006-07-10	3.3
2006-07-24	3
2006-08-07	2.2
2006-08-21	3
2006-09-06	3
2006-10-02	2.2
2006-10-30	2.5
2006-11-27	7.1
2007-01-03	6
2007-02-19	9.2
2007-04-02	4.1
2007-04-16	2.8
2007-04-30	3.1
2007-05-14	7.8
2007-05-29	6
2007-06-11	3.8
2007-06-25	3
2007-07-09	2.2
2007-07-23	2
2007-08-06	2
2007-08-20	2.5
2007-09-04	3
2007-10-01	1.7
2007-10-29	3
2007-11-26	4
2008-02-13	10.5
2008-04-14	0.9
2008-04-28	4.2
2008-05-12	6
2008-05-28	10.7
2008-06-09	6
2008-06-23	1.75
2008-07-07	0.8
2008-07-21	2
2008-08-04	1.2
2008-08-18	1.1
2008-09-05	1.8
2008-09-29	2.2
2008-10-29	3.5
2009-01-21	11.3
2009-04-15	3.5
2009-04-27	3
2009-05-11	5.3
2009-05-28	5.1
2009-06-09	8.5
2009-06-23	6.7
2009-07-06	2.2
2009-07-20	0.6
2009-08-05	0.9
2009-08-19	1.2
2009-09-02	1.2
2009-09-30	2.5
2009-10-28	4.7
2009-12-03	5
2010-02-01	9
2010-03-29	1
2010-04-13	1.9
2010-04-26	1.6
2010-05-10	2.5
2010-05-24	7.6
2010-06-07	2.1
2010-06-21	1.9
2010-07-05	1.4
2010-07-19	1.1
2010-08-03	1.4
2010-08-16	1.3
2010-08-30	1.2
2010-10-05	2.1
2010-11-09	2.9
2011-01-19	5.3
2011-04-18	1.4
2011-05-02	2.5
2011-05-17	2.3
2011-05-31	6
2011-06-13	7.2
2011-06-27	3.3
2011-07-11	3.3
2011-07-25	2.6
2011-08-04	3.3
2011-08-22	1.8
2011-09-12	2
2011-10-03	2.2
2011-10-31	2.6
2012-02-22	2.3
2012-03-21	1.5
2012-04-04	2.6
2012-04-17	7
2012-05-01	8.2
2012-05-14	7.8
2012-05-29	5.6
2012-06-08	5
2012-06-11	2.9
2012-06-15	2.33
2012-06-22	1.85
2012-06-25	1.5
2012-06-29	2.25
2012-07-06	1.8
2012-07-10	1.8
2012-07-13	2.19456
2012-07-20	2.286
2012-07-23	1.4
2012-07-27	2.0574
2012-08-03	2.0574
2012-08-06	1.5
2012-08-17	2.286
2012-08-20	1.7
2012-08-24	2.0574
2012-08-31	2.286
2012-09-04	2.1
2012-09-07	2.5146
2012-09-13	2.286
2012-09-21	2.286
2012-09-27	2.286
2012-10-01	2.1
2012-10-08	2.286
2012-10-12	2.286
2012-10-22	4.8006
2012-10-26	3.6576
2012-10-29	4.2
2012-11-05	4.1148
2012-11-09	4.572
2012-11-16	3.429
