Date	Temperature
2000-01-24	0.4
2000-02-28	1.1
2000-03-13	2.8
2000-03-14	2.8
2000-03-29	4.2
2000-03-30	4.2
2000-04-10	5.7
2000-04-11	5.7
2000-04-25	7.1
2000-04-26	7.1
2000-05-09	7.9
2000-05-10	7.9
2000-05-22	11.3
2000-05-23	11.3
2000-06-06	15.2
2000-06-07	15.2
2000-06-19	15.8
2000-06-20	15.8
2000-07-03	17.9
2000-07-04	17.9
2000-07-17	16.9
2000-07-18	16.9
2000-07-31	17.4
2000-08-01	17.4
2000-08-16	16.9
2000-08-17	16.9
2000-08-28	18.4
2000-08-29	18.4
2000-09-25	17.4
2000-09-26	17.4
2000-10-24	13.9
2000-10-25	13.9
2000-11-28	5.4
2000-11-29	5.4
2001-01-17	1.6
2001-03-07	2.2
2001-04-10	3.9
2001-04-23	7.2
2001-05-07	11.1
2001-05-21	12.8
2001-06-04	14.6
2001-06-18	13.6
2001-07-02	14.7
2001-07-16	15.1
2001-07-30	14.8
2001-08-13	15.7
2001-08-27	17.5
2001-09-26	16.8
2001-10-22	12.7
2001-11-26	9
2002-03-28	1.3
2002-04-08	2.5
2002-04-24	7.1
2002-05-06	8.5
2002-05-20	10.9
2002-06-03	12.7
2002-06-18	12.9
2002-07-01	13.2
2002-07-15	13.7
2002-07-26	14.7
2002-08-12	14.4
2002-08-26	15.4
2002-09-23	20.1
2002-10-21	12.4
2002-11-18	7.4
2003-01-21	0.5
2003-04-03	3
2003-04-14	3.9
2003-04-28	8.1
2003-05-13	10.5
2003-05-27	12.6
2003-06-09	12.5
2003-06-23	13.8
2003-07-07	13.4
2003-07-24	13.8
2003-08-04	14.9
2003-08-18	16
2003-09-02	16.4
2003-09-29	16
2003-10-27	12.7
2003-11-25	6.7
2004-02-03	1
2004-03-29	3.5
2004-03-30	3.5
2004-04-12	6.1
2004-04-13	6.1
2004-04-28	8.9
2004-04-29	8.9
2004-05-10	10.5
2004-05-11	10.5
2004-05-24	14.9
2004-05-25	14.9
2004-06-07	14
2004-06-08	14
2004-06-21	14.7
2004-06-22	14.7
2004-07-06	19
2004-07-07	19
2004-07-19	15.7
2004-07-20	15.7
2004-08-03	16.1
2004-08-04	16.1
2004-08-16	15.2
2004-08-17	15.2
2004-09-07	18.9
2004-09-08	18.9
2004-10-05	16.7
2004-10-06	16.7
2004-11-03	12.3
2004-11-04	12.3
2005-01-31	1.3
2005-04-15	5.3
2005-04-25	7.5
2005-05-09	7.8
2005-05-23	13.1
2005-06-06	11.2
2005-06-20	12.4
2005-07-05	12.5
2005-07-18	12.7
2005-08-01	12.7
2005-08-15	12.9
2005-08-29	14.6
2005-09-26	20.5
2005-11-02	12.4
2005-11-30	5.5
2006-03-06	1.6
2006-04-04	3.7
2006-04-17	6.2
2006-05-02	9.6
2006-05-15	11
