head	Temperature	Dissolved oxygen	Secchi depth	Chlorophyll-a	Chloride	Sulfate	Calcium	Magnesium	Sodium	Potassium	Iron	Manganese	pH	Dissolved inorganic carbon	Total inorganic carbon	Dissolved organic carbon	Total organic carbon	Nitrate plus nitrite	Ammonium	Total phosphorus	Soluble reactive phosphorus	Phytoplankton-Bacillariophyta	Phytoplankton-Chlorophyta	Phytoplankton-Chrysophyta	Phytoplankton-Cryptophyta	Phytoplankton-Cyanophyta	Phytoplankton-Euglenophyta	Phytoplankton-Haptophyta	Phytoplankton-Miscellaneous	Phytoplankton-Pyrrhophyta	Phytoplankton-Xanthophyta	Phytoplankton-Total	Zooplankton density
2000-Spring	4.233333333333333	13.333333333333334	3.533333333333333	8.0	36.17	18.61	37.27	33.32	16.31	3.47	0.02	0.07	8.405000000000001	48.265	48.565	5.54	5.62	0.4385	0.359	0.10300000000000001	0.0715	0.7529876999999999	0.04224111666666667	0.054177289999999996	0.2807579766666667	0.06623974	0.0	0.0	0.014285783333333335	0.020113993333333333	0.0	1.2308036	509479.3333333333
2000-Clearwater	8.766666666666666	10.466666666666667	5.3999999999999995	2.2333333333333334	NA	NA	NA	NA	NA	NA	NA	NA	8.6	48.05	48.86	6.62	6.54	0.478	0.24	0.07366666666666667	0.04833333333333333	0.11417061333333334	0.09206647	0.00406472	0.07637689666666667	0.15160875	0.004060933333333333	0.0	0.0121828	0.0009534266666666666	0.0	0.45548461	1118622.3333333333
2000-Early Summer	16.450000000000003	5.7250000000000005	3.1	6.8	32.14	17.0	33.07	28.82	15.66	3.46	0.0	0.0	8.5	44.585	44.769999999999996	6.109999999999999	5.975	0.353	0.0955	0.081	0.04375	0.0937790275	0.03866825000000001	0.000484185	0.0520633775	5.5198705875	0.0	0.0	0.014050105	0.0	0.0	5.7189155325000005	736307.0
2000-Late Summer	17.525000000000002	1.725	1.725	14.15	NA	NA	NA	NA	NA	NA	NA	NA	8.816666666666668	39.28	40.98	6.205	6.06	0.006	0.063	0.08199999999999999	0.01425	0.09741023	0.0470654475	0.0	0.011460435000000001	5.0791965349999995	0.0	0.0	0.0047407775	0.0056761975	0.0	5.2455496225	641904.0
2000-Fall	9.65	9.25	4.75	0.8	33.3	17.51	32.01	32.77	16.4	3.55	0.0	0.01	8.26	45.364999999999995	45.675	5.5600000000000005	5.55	0.131	0.54	0.1345	0.1195	0.00308392	0.09010517	0.0	0.00373038	0.13648694	0.0	0.0	0.0021755	0.0	0.0	0.23558191	918010.0
2000-Ice-on	0.75	14.65	6.65	4.1	36.61	19.15	35.84	33.69	16.37	3.42	0.0	0.0	8.375	49.685	40.565	6.4399999999999995	5.78	0.2975	0.5205	0.1175	0.0965	0.00198097	0.00497486	0.0027261150000000003	0.30027478	0.023018854999999998	0.0	0.0	0.018564265	0.0	0.0	0.351539845	253420.0
2001-Spring	5.55	14.2	2.75	8.6	33.4	16.61	36.72	32.37	16.83	3.34	0.0	0.0	8.52	47.34	46.94	6.0	5.44	0.8025	0.0485	0.1015	0.052500000000000005	0.833350235	0.03454949	0.037052605	0.1666	0.01209255	0.0	0.0	0.0139232	0.03007291	0.0	1.12764099	328870.0
2001-Clearwater	13.025	8.4	5.625	2.5	NA	NA	NA	NA	NA	NA	NA	NA	8.43	45.485	47.125	5.45	5.35	0.6964999999999999	0.128	0.093	0.06974999999999999	0.0021870649999999998	0.0049582225	0.0002905675	0.0248977025	0.026234334999999998	0.0	0.0	0.0023205325	0.000165015	0.0	0.06105344000000001	591025.0
2001-Early Summer	14.7	4.1	2.0	25.5	NA	NA	NA	NA	NA	NA	NA	NA	8.94	43.34	43.6	5.91	5.99	0.193	0.017	0.064	0.002	0.0	0.00431734	0.0	0.00466357	6.1338594	0.0	0.0	0.00507617	0.0	0.0	6.14791648	441360.0
2001-Late Summer	15.774999999999999	0.575	1.7374999999999998	10.7	33.38	16.17	37.05	32.71	16.81	3.46	0.0	0.0	8.85	38.285	38.865	6.199999999999999	6.07	0.0055	0.01075	0.036250000000000004	0.0195	0.155397965	0.0397845225	0.0	0.0162157375	3.020136425	0.0	0.0	0.0008702	0.0	0.0	3.23240485	532648.0
2001-Fall	12.833333333333334	8.066666666666668	3.3000000000000003	4.619999999999999	32.12	15.37	34.86	31.89	15.87	3.56	0.02	0.0	8.6	44.83	46.26333333333333	5.45	5.62	0.08233333333333333	0.478	0.12633333333333333	0.09799999999999999	0.49572928750000006	0.0308056575	0.000175	0.0089772775	1.5492727849999999	0.0	0.0	7.25175e-05	0.0	0.0	2.0850325249999995	662316.0
2001-Ice-on	1.9000000000000001	7.35	4.05	10.2	31.94	17.03	34.7	32.33	15.94	3.64	0.0	0.0	8.215	46.985	46.980000000000004	5.79	5.705	0.7555000000000001	0.131	0.1385	0.1095	0.5043228649999999	0.01746657	0.0	0.42604299	0.02716519	0.0	0.0	0.004205965	0.0	0.0	0.97920358	183250.0
2002-Spring	1.9	17.9	2.35	12.55	NA	NA	NA	NA	NA	NA	NA	NA	8.5	46.51	47.97	5.46	5.56	0.9279999999999999	0.0095	0.1005	0.062	0.85175	0.00395	0.00325	0.02045	0.03745	0.0	0.0	0.0023	0.0	0.0	0.9191499999999999	360570.0
2002-Clearwater	10.42	10.620000000000001	5.779999999999999	NA	31.29	16.71	37.6	31.7	16.1	3.73	0.0	0.0	8.586666666666666	47.14666666666667	47.54	5.383333333333333	5.37	0.8624	0.11399999999999999	0.08180000000000001	0.061399999999999996	0.03430000000000001	0.01304	0.00022	0.02792	0.02276	0.0	0.0	0.00364	0.0	0.0	0.10188	490568.0
2002-Early Summer	13.45	3.8499999999999996	2.0999999999999996	NA	31.13	16.31	30.4	29.5	15.3	3.5	0.0	0.0	9.03	38.27	38.56	6.22	5.8	0.33	0.0065	0.028	0.0	0.00235	0.1547	0.0	0.00425	1.28275	0.0	0.0	0.0	0.0	0.0	1.4440499999999998	331520.0
2002-Late Summer	16.15	2.175	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.145	40.04	40.3	6.529999999999999	6.68	0.041499999999999995	0.0075	0.0245	0.0	0.001825	0.01695	0.001025	0.005175000000000001	1.3885	0.0	0.0	0.000725	0.0	0.0	1.4142	161040.0
2002-Fall	9.9	9.7	3.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.79	45.235	45.1	5.609999999999999	5.59	0.058	0.4	0.1125	0.093	0.0164	0.0007	0.0009	0.0316	0.2686	0.0	0.0	0.0002	0.001	0.0	0.3194	133790.0
2002-Ice-on	NA	NA	NA	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
