Date1	Date	Bacillariophyta	Chlorophyta	Chrysophyta	Cryptophyta	Cyanophyta	Euglenophyta	Haptophyta	Miscellaneous	Pyrrhophyta	Xanthophyta
2000/1/24	2000-01-24	0.00121906	0.005489249999999999	0.00493557	0.4263	0.037249330000000004	0	0	0.017404	0	0
2000/2/28	2000-02-28	0.00274288	0.004460469999999999	0.00051666	0.17424956	0.00878838	0	0	0.01972453	0	0
2000/3/13	2000-03-13	0.26899074	0.009431069999999998	0.00141005	0.17252255	0.07669425	0	0	0.00978975	0	0
2000/3/29	2000-03-29	1.09208459	0.06259587	0.04106253	0.12887658999999999	0.01764926	0	0	0.017404	0.03668973	0
2000/4/10	2000-04-10	0.8978877700000001	0.05469641	0.12005928999999999	0.5408747899999999	0.10437571000000001	0	0	0.0156636	0.02365225	0
2000/4/25	2000-04-25	0.28761742	0.09823179	0.009483169999999999	0.17847271	0.04516272	0	0	0.01508346	0.00110011	0
2000/5/10	2000-05-10	0.04515176	0.16874211000000003	0.00271099	0.03628196	0.24116748	0	0	0.01160267	0	0
2000/5/22	2000-05-22	0.00974266	0.009225510000000001	0	0.01437602	0.16849605	0.0121828	0	0.00986227	0.00176017	0
2000/6/06	2000-06-06	0.02141984	0.13945164999999998	0.0019367400000000002	0.07103177	0.7401775299999998	0	0	0.00986227	0	0
2000/6/19	2000-06-19	0.00145924	0.00352914	0	0.03080541	5.177671559999999	0	0	0.0156636	0	0
2000/7/03	2000-07-03	0.00933703	0.009775019999999999	0	0.07729744	1.7665208400000003	0	0	0.0034808	0	0
2000/7/17	2000-07-17	0.3429	0.00191719	0	0.02911889	14.39511242	0	0	0.02719375	0	0
2000/7/31	2000-07-31	0.049391809999999994	0.00809599	0	0.00240362	0.04620378000000001	0	0	0.00232053	0	0
2000/8/16	2000-08-16	0.022624940000000003	0.041879719999999995	0	0.00613029	7.09084806	0	0	0.00344455	0	0
2000/8/28	2000-08-28	0.02265775	0.06882834	0	0.02971992	11.93042003	0	0	0.00362583	0.02270479	0
2000/9/25	2000-09-25	0.29496642000000006	0.06945774	0	0.00758791	1.24931427	0	0	0.0095722	0	0
2000/10/24	2000-10-24	0.00308392	0.09010517	0	0.00373038	0.13648694000000003	0	0	0.0021755	0	0
2001/1/17	2001-01-17	0.00164573	0.00603444	0	0.02327767	0.01775227	0	0	0.00145033	0	0
2001/3/07	2001-03-07	1.007	0.0288987	0	0.8288083099999999	0.036578110000000004	0	0	0.0069616	0	0
2001/4/10	2001-04-10	1.63958614	0.04514162	0.01856426	0.1065	0.00785318	0	0	0.026106	0.056478799999999996	0
2001/4/23	2001-04-23	0.02711433	0.02395736	0.05554095	0.2267	0.01633192	0	0	0.0017404	0.00366702	0
2001/5/07	2001-05-07	0	0.00010065	0	0.021726520000000003	0.0018895400000000003	0	0	0.0008702	0	0
2001/5/21	2001-05-21	0.00068964	0.009510290000000001	0	0.03581009	0.02846249	0	0	0.00580133	0.00066006	0
2001/6/04	2001-06-04	0.00788621	0.00785507	0.00116227	0.041547190000000005	0.06909362000000002	0	0	0.0008702	0	0
2001/6/18	2001-06-18	0.00017241	0.00236688	0	0.00050701	0.00549169	0	0	0.0017404	0	0
2001/7/02	2001-07-02	0	0.00431734	0	0.0046635700000000006	6.1338593999999995	0	0	0.00507617	0	0
2001/7/16	2001-07-16	0.00359186	0.013338089999999999	0	0.01446295	2.7366456999999995	0	0	0.0034808	0	0
2001/7/30	2001-07-30	0.1547	0.004699999999999999	0	0.0102	3.5629	0	0	0	0	0
2001/8/13	2001-08-13	0.0048	0.0444	0	0.027700000000000002	2.2224999999999997	0	0	0	0	0
2001/8/27	2001-08-27	0.4585	0.0967	0	0.0125	3.5584999999999996	0	0	0	0	0
2001/9/26	2001-09-26	1.6181	0.11389999999999999	0	0.02	6.1088	0	0	0	0	0
2001/10/22	2001-10-22	0.11089999999999998	0.00030000000000000003	0	0.001	0.0539	0	0	0	0	0
2001/11/26	2001-11-26	0.25329999999999997	0.0025000000000000005	0.0007	0.0058	0.0094	0	0	0	0	0
2001/11/28	2001-11-28	0.00061715	0.00652263	0	0.00910911	0.024991140000000002	0	0	0.00029007	0	0
2002/3/28	2002-03-28	0.8621	0.0003	0.0065	0.021199999999999997	0.0556	0	0	0	0	0
