Date	Date in text	division	taxon name	Biomass concentration	genus
Date	Date in text	division	taxa_name	biomass_conc (mg/L)	genus
2000/1/24	2000-01-24	Bacillariophyta	Cyclotella sp1 	0.00121906000	Cyclotella
2000/1/24	2000-01-24	Chrysophyta	Kephyrion  	0.00261060000	Kephyrion
2000/1/24	2000-01-24	Chrysophyta	Uroglena  	0.00232497000	Uroglena
2000/1/24	2000-01-24	Chlorophyta	Schroederia judayi 	0.00520835000	Schroederia
2000/1/24	2000-01-24	Chlorophyta	Monomastix astigmata	0.00028090000	Monomastix
2000/1/24	2000-01-24	Cryptophyta	Cryptomonas erosa 	0.13690000000	Cryptomonas
2000/1/24	2000-01-24	Cryptophyta	Rhodomonas minuta var. nannoplanctica	0.18210000000	Rhodomonas
2000/1/24	2000-01-24	Cryptophyta	Cryptomonas rostratiformis 	0.10730000000	Cryptomonas
2000/1/24	2000-01-24	Cyanophyta	Aphanizomenon flos-aquae	0.02037566000	Aphanizomenon
2000/1/24	2000-01-24	Cyanophyta	Aphanocapsa delicatissima 	0.00015348000	Aphanocapsa
2000/1/24	2000-01-24	Cyanophyta	Aphanothece nidulans 	0.00091673000	Aphanothece
2000/1/24	2000-01-24	Cyanophyta	Oscillatoria limnetica 	0.01224499000	Pseudanabaena
2000/1/24	2000-01-24	Cyanophyta	Chroococcaceae	0.00061353000	
2000/1/24	2000-01-24	Cyanophyta	Synechococcus sp1 	0.00294494000	Synechococcus
2000/1/24	2000-01-24	Miscellaneous	Miscellaneous	0.01740400000	
2000/2/28	2000-02-28	Bacillariophyta	Cyclotella sp1 	0.00274288000	Cyclotella
2000/2/28	2000-02-28	Chrysophyta	Uroglena  	0.00051666000	Uroglena
2000/2/28	2000-02-28	Chlorophyta	Chlamydomonas globosa 	0.00051567000	Chlamydomonas
2000/2/28	2000-02-28	Chlorophyta	Chlamydomonas platystigma 	0.00154702000	Chlamydomonas
2000/2/28	2000-02-28	Chlorophyta	Schroederia judayi 	0.00102250000	Schroederia
2000/2/28	2000-02-28	Chlorophyta	Monomastix astigmata	0.00137528000	Monomastix
2000/2/28	2000-02-28	Cryptophyta	Cryptomonas erosa 	0.06650442000	Cryptomonas
2000/2/28	2000-02-28	Cryptophyta	Rhodomonas minuta 	0.02938504000	Rhodomonas
2000/2/28	2000-02-28	Cryptophyta	Rhodomonas minuta var. nannoplanctica	0.07836010000	Rhodomonas
2000/2/28	2000-02-28	Cyanophyta	Aphanothece nidulans 	0.00142602000	Aphanothece
2000/2/28	2000-02-28	Cyanophyta	Chroococcaceae	0.00294494000	
2000/2/28	2000-02-28	Cyanophyta	Synechococcus sp1 	0.00441742000	Synechococcus
2000/2/28	2000-02-28	Miscellaneous	Miscellaneous	0.01972453000	
2000/3/13	2000-03-13	Bacillariophyta	Cocconeis placentula 	0.00370373000	Cocconeis
2000/3/13	2000-03-13	Bacillariophyta	Cyclotella sp1 	0.01836521000	Cyclotella
2000/3/13	2000-03-13	Bacillariophyta	Nitzschia acicularis 	0.00119729000	Nitzschia
2000/3/13	2000-03-13	Bacillariophyta	Stephanodiscus niagarae 	0.24330000000	Stephanodiscus
2000/3/13	2000-03-13	Chrysophyta	Chrysococcus minutus 	0.00108775000	Chrysococcus
2000/3/13	2000-03-13	Chrysophyta	Kephyrion  	0.00032230000	Kephyrion
2000/3/13	2000-03-13	Chlorophyta	Chlamydomonas globosa 	0.00141005000	Chlamydomonas
2000/3/13	2000-03-13	Chlorophyta	Chlamydomonas platystigma 	0.00193378000	Chlamydomonas
2000/3/13	2000-03-13	Chlorophyta	Scenedesmus dimorphus 	0.00145126000	Scenedesmus
2000/3/13	2000-03-13	Chlorophyta	Schroederia judayi 	0.00425375000	Schroederia
2000/3/13	2000-03-13	Chlorophyta	Chlorococcaceae	0.00032230000	
2000/3/13	2000-03-13	Chlorophyta	Monomastix astigmata	0.00005993000	Monomastix
2000/3/13	2000-03-13	Cryptophyta	Cryptomonas erosa 	0.10350000000	Cryptomonas
2000/3/13	2000-03-13	Cryptophyta	Rhodomonas minuta var. nannoplanctica	0.06902255000	Rhodomonas
2000/3/13	2000-03-13	Cyanophyta	Aphanizomenon flos-aquae	0.06595748000	Aphanizomenon
2000/3/13	2000-03-13	Cyanophyta	Chroococcaceae	0.00245412000	
