Date	Date in text	species_name	density
Date	Date in text	species name	density (n/m2)
2000/1/24	2000-01-24	COPEPOD NAUPLII	87920
2000/1/24	2000-01-24	CYCLOPOID	21220
2000/1/24	2000-01-24	DIACYCLOPS THOMASI	8840
2000/1/24	2000-01-24	CALANOID	580
2000/1/24	2000-01-24	DIAPTOMID	93180
2000/1/24	2000-01-24	AGLAODIAPTOMUS CLAVIPES	23760
2000/1/24	2000-01-24	HARPACTICOID	1180
2000/1/24	2000-01-24	CHYDORUS	560
2000/1/24	2000-01-24	DAPHNIA MENDOTAE	15000
2000/1/24	2000-01-24	DAPHNIA PULICARIA	29700
2000/2/28	2000-02-28	COPEPOD NAUPLII	49020
2000/2/28	2000-02-28	CYCLOPOID	6700
2000/2/28	2000-02-28	DIACYCLOPS THOMASI	14440
2000/2/28	2000-02-28	CALANOID	1540
2000/2/28	2000-02-28	DIAPTOMID	115060
2000/2/28	2000-02-28	AGLAODIAPTOMUS CLAVIPES	13620
2000/2/28	2000-02-28	DAPHNIA MENDOTAE	9660
2000/2/28	2000-02-28	DAPHNIA PULICARIA	14860
2000/3/13	2000-03-13	COPEPOD NAUPLII	60340
2000/3/13	2000-03-13	CYCLOPOID	4840
2000/3/13	2000-03-13	DIACYCLOPS THOMASI	19940
2000/3/13	2000-03-13	CALANOID	3240
2000/3/13	2000-03-13	DIAPTOMID	134660
2000/3/13	2000-03-13	AGLAODIAPTOMUS CLAVIPES	15560
2000/3/13	2000-03-13	CHYDORUS	180
2000/3/13	2000-03-13	DAPHNIA MENDOTAE	6020
2000/3/13	2000-03-13	DAPHNIA PULICARIA	14140
2000/3/29	2000-03-29	COPEPOD NAUPLII	185300
2000/3/29	2000-03-29	CYCLOPOID	17700
2000/3/29	2000-03-29	ACANTHOCYCLOPS	2220
2000/3/29	2000-03-29	DIACYCLOPS THOMASI	13260
2000/3/29	2000-03-29	CALANOID	1480
2000/3/29	2000-03-29	DIAPTOMID	128260
2000/3/29	2000-03-29	AGLAODIAPTOMUS CLAVIPES	11680
2000/3/29	2000-03-29	ALONA	360
2000/3/29	2000-03-29	CHYDORUS	1420
2000/3/29	2000-03-29	DAPHNIA MENDOTAE	6720
2000/3/29	2000-03-29	DAPHNIA PULICARIA	27240
2000/3/29	2000-03-29	SINOBOSMINA FRYEI	360
2000/4/10	2000-04-10	COPEPOD NAUPLII	474785
2000/4/10	2000-04-10	CYCLOPOID	16076
2000/4/10	2000-04-10	DIACYCLOPS THOMASI	67520
2000/4/10	2000-04-10	DIAPTOMID	213278
2000/4/10	2000-04-10	AGLAODIAPTOMUS CLAVIPES	17684
2000/4/10	2000-04-10	CHYDORUS	2476
2000/4/10	2000-04-10	DAPHNIA	707
2000/4/10	2000-04-10	DAPHNIA MENDOTAE	6366
2000/4/10	2000-04-10	DAPHNIA PULICARIA	74272
2000/4/10	2000-04-10	SINOBOSMINA FRYEI	354
2000/4/25	2000-04-25	COPEPOD NAUPLII	522443
2000/4/25	2000-04-25	CYCLOPOID	152046
2000/4/25	2000-04-25	DIACYCLOPS THOMASI	44585
2000/4/25	2000-04-25	MESOCYCLOPS EDAX	3430
2000/4/25	2000-04-25	DIAPTOMID	164621
2000/4/25	2000-04-25	AGLAODIAPTOMUS CLAVIPES	3773
2000/4/25	2000-04-25	CHYDORUS	1886
2000/4/25	2000-04-25	DAPHNIA MENDOTAE	1509
2000/4/25	2000-04-25	DAPHNIA PULICARIA	64511
2000/5/9	2000-05-09	COPEPOD NAUPLII	433273
2000/5/9	2000-05-09	CYCLOPOID	37726
2000/5/9	2000-05-09	DIACYCLOPS THOMASI	201203
2000/5/9	2000-05-09	MESOCYCLOPS EDAX	4573
2000/5/9	2000-05-09	DIAPTOMID	321239
2000/5/9	2000-05-09	AGLAODIAPTOMUS CLAVIPES	31312
2000/5/9	2000-05-09	HARPACTICOID	377
2000/5/9	2000-05-09	CHYDORUS	755
2000/5/9	2000-05-09	DAPHNIA	1132
2000/5/9	2000-05-09	DAPHNIA MENDOTAE	9431
2000/5/9	2000-05-09	DAPHNIA PULICARIA	308219
2000/5/22	2000-05-22	COPEPOD NAUPLII	461138
2000/5/22	2000-05-22	CYCLOPOID	10003
2000/5/22	2000-05-22	ACANTHOCYCLOPS	4001
2000/5/22	2000-05-22	DIACYCLOPS THOMASI	88026
2000/5/22	2000-05-22	MESOCYCLOPS EDAX	5002
2000/5/22	2000-05-22	DIAPTOMID	233070
2000/5/22	2000-05-22	AGLAODIAPTOMUS CLAVIPES	14524
2000/5/22	2000-05-22	HARPACTICOID	990
2000/5/22	2000-05-22	CHYDORUS	990
2000/5/22	2000-05-22	DAPHNIA MENDOTAE	2641
2000/5/22	2000-05-22	DAPHNIA PULICARIA	226448
2000/5/22	2000-05-22	SINOBOSMINA FRYEI	990
2000/6/6	2000-06-06	COPEPOD NAUPLII	556167
2000/6/6	2000-06-06	CYCLOPOID	4001
2000/6/6	2000-06-06	ACANTHOCYCLOPS	1000
2000/6/6	2000-06-06	DIACYCLOPS THOMASI	12004
2000/6/6	2000-06-06	MESOCYCLOPS EDAX	1000
2000/6/6	2000-06-06	DIAPTOMID	163049
2000/6/6	2000-06-06	AGLAODIAPTOMUS CLAVIPES	6272
2000/6/6	2000-06-06	DAPHNIA	330
2000/6/6	2000-06-06	DAPHNIA PULICARIA	47534
2000/6/6	2000-06-06	SINOBOSMINA FRYEI	660
2000/6/19	2000-06-19	COPEPOD NAUPLII	214922
2000/6/19	2000-06-19	CYCLOPOID	61733
2000/6/19	2000-06-19	DIACYCLOPS THOMASI	20578
2000/6/19	2000-06-19	DIAPTOMID	208062
2000/6/19	2000-06-19	AGLAODIAPTOMUS CLAVIPES	3395
2000/6/19	2000-06-19	DAPHNIA MENDOTAE	6413
2000/6/19	2000-06-19	DAPHNIA PULICARIA	89409
2000/7/3	2000-07-03	COPEPOD NAUPLII	402121
2000/7/3	2000-07-03	CYCLOPOID	38011
2000/7/3	2000-07-03	DIACYCLOPS THOMASI	85026
2000/7/3	2000-07-03	MESOCYCLOPS EDAX	20006
2000/7/3	2000-07-03	DIAPTOMID	213064
2000/7/3	2000-07-03	AGLAODIAPTOMUS CLAVIPES	2641
2000/7/3	2000-07-03	ALONA	330
2000/7/3	2000-07-03	CHYDORUS	1320
2000/7/3	2000-07-03	DAPHNIA	660
2000/7/3	2000-07-03	DAPHNIA MENDOTAE	5942
2000/7/3	2000-07-03	DAPHNIA RETROCURVA	330
2000/7/3	2000-07-03	DAPHNIA PULICARIA	200040
2000/7/3	2000-07-03	SINOBOSMINA FRYEI	330
2000/7/17	2000-07-17	COPEPOD NAUPLII	256934
2000/7/17	2000-07-17	CYCLOPOID	33224
2000/7/17	2000-07-17	DIACYCLOPS THOMASI	44299
2000/7/17	2000-07-17	MESOCYCLOPS EDAX	15505
2000/7/17	2000-07-17	DIAPTOMID	143972
2000/7/17	2000-07-17	AGLAODIAPTOMUS CLAVIPES	1462
2000/7/17	2000-07-17	CHYDORUS	7309
2000/7/17	2000-07-17	DAPHNIA	731
2000/7/17	2000-07-17	DAPHNIA RETROCURVA	2193
2000/7/17	2000-07-17	DAPHNIA PULICARIA	73093
2000/7/17	2000-07-17	LEPTODORA KINDTI	156
2000/7/31	2000-07-31	COPEPOD NAUPLII	230069
2000/7/31	2000-07-31	CYCLOPOID	44299
2000/7/31	2000-07-31	DIACYCLOPS THOMASI	101459
