"lakeid","year4","sample_date","station","towdepth","species_code","species_name","density","individuals_measured","avg_length"
"FI",1997,"1997-06-24",1,16.000,10000,"COPEPOD NAUPLII",943760.00,15,0.21
"FI",1997,"1997-06-24",1,16.000,20000,"CYCLOPOID",92656.00,15,0.51
"FI",1997,"1997-06-24",1,16.000,20302,"DIACYCLOPS THOMASI",2160.00,1,1.08
"FI",1997,"1997-06-24",1,16.000,20601,"MESOCYCLOPS EDAX",8624.00,4,1.37
"FI",1997,"1997-06-24",1,16.000,30000,"CALANOID",202544.00,15,0.66
"FI",1997,"1997-06-24",1,16.000,30400,"DIAPTOMID",34480.00,15,1.17
"FI",1997,"1997-06-24",1,16.000,50901,"CERIODAPHNIA LACUSTRIS",2832.00,4,0.46
"FI",1997,"1997-06-24",1,16.000,51000,"CHYDORUS",2832.00,4,0.29
"FI",1997,"1997-06-24",1,16.000,51103,"DAPHNIA MENDOTAE",246880.00,76,1.17
"FI",1997,"1997-06-24",1,16.000,51107,"DAPHNIA RETROCURVA",3536.00,5,0.94
"FI",1997,"1997-06-24",1,16.000,51202,"DIAPHANOSOMA BIRGEI",1408.00,3,0.63
"FI",1997,"1997-06-24",1,16.000,52301,"LEPTODORA KINDTI",288.00,15,4.90
"FI",1997,"1997-06-24",1,16.000,53601,"SINOBOSMINA FRYEI",10608.00,15,0.30
"FI",1997,"1997-07-08",1,16.000,10000,"COPEPOD NAUPLII",13200.00,3,0.17
"FI",1997,"1997-07-08",1,16.000,20000,"CYCLOPOID",5168.00,15,0.42
"FI",1997,"1997-07-08",1,16.000,20302,"DIACYCLOPS THOMASI",27792.00,1,0.80
"FI",1997,"1997-07-08",1,16.000,20601,"MESOCYCLOPS EDAX",10336.00,11,1.12
"FI",1997,"1997-07-08",1,16.000,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",5824.00,3,0.47
"FI",1997,"1997-07-08",1,16.000,30000,"CALANOID",47184.00,15,0.73
"FI",1997,"1997-07-08",1,16.000,30400,"DIAPTOMID",10336.00,15,1.03
"FI",1997,"1997-07-08",1,16.000,50901,"CERIODAPHNIA LACUSTRIS",15488.00,2,0.38
"FI",1997,"1997-07-08",1,16.000,51000,"CHYDORUS",15488.00,10,0.22
"FI",1997,"1997-07-08",1,16.000,51100,"DAPHNIA",640.00,3,0.48
"FI",1997,"1997-07-08",1,16.000,51103,"DAPHNIA MENDOTAE",43072.00,75,1.03
"FI",1997,"1997-07-08",1,16.000,51107,"DAPHNIA RETROCURVA",1056.00,11,1.23
"FI",1997,"1997-07-08",1,16.000,51130,"DAPHNIA PULICARIA",18256.00,5,0.76
"FI",1997,"1997-07-08",1,16.000,51202,"DIAPHANOSOMA BIRGEI",208.00,15,0.62
"FI",1997,"1997-07-08",1,16.000,53601,"SINOBOSMINA FRYEI",137728.00,8,0.32
"FI",1997,"1997-08-05",1,16.000,10000,"COPEPOD NAUPLII",10240.00,15,0.17
"FI",1997,"1997-08-05",1,16.000,20000,"CYCLOPOID",1840.00,15,0.57
"FI",1997,"1997-08-05",1,16.000,20100,"ACANTHOCYCLOPS",736.00,1,0.68
"FI",1997,"1997-08-05",1,16.000,20302,"DIACYCLOPS THOMASI",4048.00,2,0.84
"FI",1997,"1997-08-05",1,16.000,20601,"MESOCYCLOPS EDAX",736.00,15,1.14
"FI",1997,"1997-08-05",1,16.000,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",1104.00,11,0.44
"FI",1997,"1997-08-05",1,16.000,30000,"CALANOID",1104.00,15,0.68
"FI",1997,"1997-08-05",1,16.000,30400,"DIAPTOMID",3312.00,15,1.02
"FI",1997,"1997-08-05",1,16.000,30901,"AGLAODIAPTOMUS CLAVIPES",176.00,2,1.62
"FI",1997,"1997-08-05",1,16.000,50901,"CERIODAPHNIA LACUSTRIS",352.00,2,0.30
"FI",1997,"1997-08-05",1,16.000,51000,"CHYDORUS",880.00,6,0.25
"FI",1997,"1997-08-05",1,16.000,51100,"DAPHNIA",1056.00,6,0.57
"FI",1997,"1997-08-05",1,16.000,51103,"DAPHNIA MENDOTAE",15040.00,39,0.78
"FI",1997,"1997-08-05",1,16.000,51107,"DAPHNIA RETROCURVA",6720.00,39,1.14
"FI",1997,"1997-08-05",1,16.000,51130,"DAPHNIA PULICARIA",352.00,2,0.74
"FI",1997,"1997-08-05",1,16.000,51202,"DIAPHANOSOMA BIRGEI",20336.00,16,0.73
"FI",1997,"1997-08-05",1,16.000,52301,"LEPTODORA KINDTI",32.00,2,7.00
"FI",1997,"1997-08-05",1,16.000,53601,"SINOBOSMINA FRYEI",124672.00,4,0.22
"FI",1997,"1997-08-19",1,16.000,10000,"COPEPOD NAUPLII",718816.00,15,0.18
"FI",1997,"1997-08-19",1,16.000,20000,"CYCLOPOID",78864.00,15,0.49
"FI",1997,"1997-08-19",1,16.000,20100,"ACANTHOCYCLOPS",640.00,1,0.76
"FI",1997,"1997-08-19",1,16.000,20302,"DIACYCLOPS THOMASI",3872.00,6,0.85
"FI",1997,"1997-08-19",1,16.000,20601,"MESOCYCLOPS EDAX",5824.00,9,1.11
"FI",1997,"1997-08-19",1,16.000,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",10992.00,15,0.45
"FI",1997,"1997-08-19",1,16.000,30000,"CALANOID",18752.00,15,0.63
"FI",1997,"1997-08-19",1,16.000,30400,"DIAPTOMID",17456.00,15,1.09
"FI",1997,"1997-08-19",1,16.000,50901,"CERIODAPHNIA LACUSTRIS",848.00,4,0.43
"FI",1997,"1997-08-19",1,16.000,51000,"CHYDORUS",8272.00,15,0.22
"FI",1997,"1997-08-19",1,16.000,51100,"DAPHNIA",432.00,2,0.46
"FI",1997,"1997-08-19",1,16.000,51103,"DAPHNIA MENDOTAE",43712.00,70,0.80
"FI",1997,"1997-08-19",1,16.000,51107,"DAPHNIA RETROCURVA",24400.00,51,1.15
"FI",1997,"1997-08-19",1,16.000,51130,"DAPHNIA PULICARIA",640.00,3,0.95
"FI",1997,"1997-08-19",1,16.000,51202,"DIAPHANOSOMA BIRGEI",61760.00,15,0.87
"FI",1997,"1997-08-19",1,16.000,53601,"SINOBOSMINA FRYEI",848.00,4,0.30
"FI",1997,"1997-09-11",1,16.000,10000,"COPEPOD NAUPLII",2688.00,15,0.19
"FI",1997,"1997-09-11",1,16.000,20000,"CYCLOPOID",2160.00,15,0.63
"FI",1997,"1997-09-11",1,16.000,20601,"MESOCYCLOPS EDAX",7536.00,9,1.14
"FI",1997,"1997-09-11",1,16.000,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",452496.00,13,0.46
"FI",1997,"1997-09-11",1,16.000,30000,"CALANOID",0.00,15,0.73
"FI",1997,"1997-09-11",1,16.000,30400,"DIAPTOMID",7536.00,15,1.09
"FI",1997,"1997-09-11",1,16.000,50300,"ALONA",352.00,2,0.48
"FI",1997,"1997-09-11",1,16.000,50901,"CERIODAPHNIA LACUSTRIS",704.00,4,0.35
