Head	Ackermannviridae;NA	Algavirales;NA	Algavirales;Phycodnaviridae	Asfuvirales;Asfarviridae	Autographiviridae;NA	Chitovirales;Poxviridae	Crassvirales;NA	Crassvirales;Steigviridae	Herelleviridae;NA	Imitervirales;Mimiviridae	Imitervirales;NA	Kyanoviridae;NA	Ligamenvirales;Lipothrixviridae	NA;Ackermannviridae	NA;Autographiviridae	NA;Casjensviridae	NA;Herelleviridae	NA;Kyanoviridae	NA;Naomviridae	NA;Peduoviridae	NA;Straboviridae	NA;Zobellviridae	Petitvirales;Microviridae	Pimascovirales;Iridoviridae	Pimascovirales;Marseilleviridae	Pimascovirales;NA	Priklausovirales;Lavidaviridae	Straboviridae;NA	Thumleimavirales;Druskaviridae
K00012	0	0	46	0	0	0	1	0	0	18	2	2	0	0	1	0	1	19	0	1	1	0	2	0	2	0	3	0	1
K00568	0	2	48	0	0	0	0	0	0	20	0	1	0	0	5	0	0	13	0	0	1	0	1	2	4	3	0	0	0
K00737	0	0	70	0	0	0	7	0	0	15	0	2	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0
K01710	0	9	20	0	0	0	4	0	0	44	0	2	0	1	1	0	1	7	0	0	0	0	3	0	0	8	0	0	0
K01711	0	3	39	0	0	0	1	1	0	21	3	2	5	0	1	0	0	7	0	0	0	0	0	5	2	8	2	0	0
K01784	0	0	18	0	0	0	8	0	0	19	0	4	0	0	7	0	0	24	0	0	0	0	1	0	12	2	4	1	0
K01854	0	0	26	0	0	1	12	0	1	35	0	5	0	7	1	0	0	3	0	0	1	0	1	0	3	2	1	1	0
K01915	0	0	4	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K01953	0	0	48	0	0	0	0	0	0	38	6	1	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	0	0
K02377	0	2	38	0	0	0	6	0	0	25	3	8	0	0	1	0	0	8	0	0	0	0	0	0	7	1	1	0	0
K02703	0	0	2	0	1	0	0	0	0	5	0	9	0	0	69	0	0	12	0	0	0	0	0	0	0	0	2	0	0
K02843	1	0	7	0	0	0	27	0	3	11	2	4	0	0	9	0	0	28	0	0	0	0	1	2	1	1	3	0	0
K03183	0	2	47	1	0	0	1	0	0	36	3	0	0	0	1	0	0	5	0	0	0	0	0	1	1	2	0	0	0
K03272	0	1	10	0	0	0	5	0	0	17	0	3	0	0	1	1	0	56	0	0	0	0	1	0	1	1	3	0	0
K12450	0	3	51	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	16	0	0	0
K12452	0	2	50	0	0	0	0	0	0	27	1	5	0	0	0	0	0	8	0	0	0	0	0	1	5	0	1	0	0
