Head	K00390	K00472	K00558	K01711	K01784	K03272	K07260	K09882	K10026
Cyanobacteria-Nostocaceae	0.0047	0.0014	0.0081	0.0102	0.0029	0.0018	0.0069	0.0000	0.0000
Verrucomicrobiota-Opitutaceae	0.0047	0.0000	0.0095	0.0000	0.0000	0.0000	0.0000	0.0048	0.0017
Cyanobacteria-Cyanobiaceae	0.0031	0.0014	0.0042	0.0044	0.0019	0.0000	0.0017	0.0000	0.0034
Betaproteobacteria-Burkholderiaceae	0.0016	0.0000	0.0049	0.0015	0.0000	0.0000	0.0000	0.0076	0.0000
Bacteroidota-Chitinophagaceae	0.0000	0.0058	0.0000	0.0015	0.0010	0.0018	0.0034	0.0010	0.0000
Verrucomicrobiota-Akkermansiaceae	0.0047	0.0000	0.0021	0.0000	0.0029	0.0000	0.0000	0.0038	0.0000
Planctomycetota-Pirellulaceae	0.0016	0.0029	0.0018	0.0000	0.0010	0.0000	0.0017	0.0029	0.0017
Cyanobacteria-Pseudanabaenaceae	0.0016	0.0014	0.0011	0.0015	0.0019	0.0000	0.0017	0.0019	0.0000
Bacteroidota-Crocinitomicaceae	0.0031	0.0000	0.0007	0.0044	0.0010	0.0018	0.0000	0.0000	0.0000
Verrucomicrobiota-Chthoniobacteraceae	0.0016	0.0014	0.0032	0.0015	0.0000	0.0000	0.0017	0.0010	0.0000
Bacteroidota-Flavobacteriaceae	0.0016	0.0014	0.0011	0.0000	0.0000	0.0000	0.0017	0.0019	0.0000
Bacteroidota-UBA8649	0.0000	0.0000	0.0004	0.0044	0.0019	0.0000	0.0000	0.0010	0.0000
Cyanobacteria-Phormidiaceae	0.0016	0.0000	0.0025	0.0000	0.0010	0.0000	0.0017	0.0000	0.0000
Planctomycetota-SM1A02	0.0016	0.0000	0.0011	0.0000	0.0000	0.0000	0.0017	0.0000	0.0017
Bacteroidota-UBA961	0.0000	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	0.0000	0.0034
XTheRest	0.0219	0.0014	0.0358	0.0102	0.0106	0.0123	0.0069	0.0162	0.0154
