Head	01	02	03	04	05	06	07	08	09	10	11	12
o__16-39-46;f__	0	0	0	0	0	0	47.5026578329794	0	0	0	0	0
o__2-01-FULL-39-13;f__	0	0	0	0	0	0	0	612.302717394617	131.946968290139	0	0	0
o__2-01-FULL-47-10;f__	0	0	0	0	0	0	0	0	1383.12296370055	0	0	0
o__2-12-FULL-49-11;f__	0	0	0	0	0	0	205.935361142232	99.2003050350311	100.886860440203	0	0	0
o__2-12-FULL-49-11;f__2-12-FULL-49-11	0	0	0	0	0	0	33.2342164175123	156.351852032392	125.017513220061	95.6533417442706	0	0
o__2-12-FULL-50-11;f__	0	0	0	0	0	0	0	49.0229518266138	0	0	0	0
o__20CM-4-69-9;f__	0	0	0	0	140.050704831724	0	0	0	0	0	0	0
Xo__;f__	0	449.496983571122	0	0	881.717990129741	2241.45901001316	4634.58087119345	5252.23778871857	9213.62224655901	2820.68809703156	6099.95350844434	0
o__AKYH767-A;f__OLB10	0	0	0	0	0	0	0	95.6319478278457	0	0	0	0
o__AKYH767;f__	0	0	0	0	0	80.8877072521457	656.984037403568	2111.33502120394	774.038700994264	560.362563703478	932.585191787289	0
o__AKYH767;f__B-17BO	3041.50034572397	282.33382708738	0	1867.03977365099	1341.64557987924	381.181382108281	2803.4933895057	2757.82122826278	653.958155048125	411.508521960272	2912.61894888013	0
o__AKYH767;f__GCA-2737665	0	0	0	0	0	0	0	3140.5054402318	0	0	0	0
o__AKYH767;f__Palsa-965	0	0	0	0	0	0	430.764784973312	279.068140264123	1237.8703696524	0	0	0
o__AKYH767;f__UBA4408	0	0	0	0	0	0	213.425232498896	631.864387196771	148.711091189634	0	0	0
o__AKYH767;f__b-17BO	0	0	0	0	0	0	0	318.076244216954	0	0	0	0
o__Absconditabacterales;f__	0	0	0	0	0	0	0	122.606473190515	0	433.026784332911	0	0
o__Acetobacterales;f__	0	0	0	0	0	0	1162.24247786265	1675.11279817505	1314.89167253587	0	2134.09613253206	0
o__Acetobacterales;f__Acetobacteraceae	0	0	0	0	136.896767115093	635.53925536575	2520.94655206101	967.731873201675	1738.67519147756	333.066785947006	1022.18796293465	0
o__Acidimicrobiales;f__	0	0	0	0	0	0	43.9265943065377	801.819019215351	199.862507561549	0	0	0
o__Acidimicrobiales;f__Ilumatobacteraceae	2791.9043195117	1052.23600037267	3420.65311789622	6463.6034175763	2778.032062134	4523.79454873191	7823.60583345012	6796.295735002	8865.98258710178	9111.4574190528	7584.59580909242	6347.92587537871
o__Acidimicrobiales;f__Microtrichaceae	0	0	630.819630922198	206.051255368255	190.91852136877	0	295.363296691661	251.512841811201	0	57.6625506827562	0	0
o__Acidimicrobiales;f__UBA8139	1514.25616636322	1421.86713886961	15621.8588528615	4284.31441546507	11518.3321672771	3554.4505321405	4489.12212140305	2843.59729385745	2347.38399207572	2486.46510626631	3750.36547911293	3952.5361497053
o__Actinomycetales;f__Microbacteriaceae	10615.9494705712	1697.52449402456	4748.09244387966	1992.47228171349	8784.69902637144	11313.6558600891	16155.2551888071	1124.45047322692	275.876008761752	939.003150207121	3841.44579611752	13226.9232923463
o__Azospirillales;f__	0	0	0	0	0	202.070907842926	27.6389673713464	0	0	445.579236455253	819.205487841534	0
o__Azospirillales;f__Azospirillaceae	0	0	0	0	0	35.5717515626201	0	0	0	0	0	0
o__Azospirillales;f__Inquilinaceae	0	0	0	0	0	0	346.564027237445	0	0	0	0	0
o__Babeliales;f__GCA-2401785	0	0	0	0	0	0	268.265377276812	0	0	0	0	0
o__Babeliales;f__RVW-14	0	0	0	0	0	0	0	816.354829953585	0	2484.22857425715	0	0
o__Bacteriovoracales;f__	0	0	0	0	0	0	0	0	122.016577602473	0	0	0
o__Bacteriovoracales;f__Bacteriovoracaceae	0	731.595074560599	0	447.575795597297	0	0	42.2994954841917	167.177581507268	203.209095252228	0	504.685041024035	0
o__Bacteroidales;f__F082	0	0	0	0	0	0	0	202.325310577794	0	0	0	0
o__Bacteroidales;f__Lentimicrobiaceae	0	0	0	0	0	0	43.4297651663809	65.4807898115243	0	0	0	0
o__Bacteroidales;f__Paludibacteraceae	0	0	0	0	0	0	96.6242784327076	55.3097692154318	0	0	0	0
o__Bacteroidales;f__Prolixibacteraceae	0	0	0	0	0	0	0	88.3485318942035	0	0	0	0
o__Bdellovibrionales;f__Bdellovibrionaceae	0	0	0	0	0	0	0	232.649928913655	0	1871.70042481129	1861.63217641347	0
o__Betaproteobacteriales;f__	0	0	0	0	0	0	0	0	148.560285455531	0	0	0
o__Betaproteobacteriales;f__Burkholderiaceae	0	0	0	152.576630711454	82.2214530709685	460.672709874788	1265.60164350835	956.001692668962	2942.63364794455	1798.65032960433	189.427931718947	0
o__Betaproteobacteriales;f__Chitinibacteraceae	0	0	0	0	0	711.881138522023	0	0	0	0	0	0
o__Betaproteobacteriales;f__Gallionellaceae	0	0	0	0	0	0	736.846132997488	0	0	0	0	0
o__Betaproteobacteriales;f__Hydrogenophilaceae	0	0	0	0	0	0	0	80.8103295965353	0	0	0	0
o__Betaproteobacteriales;f__Methylophilaceae	0	0	0	0	0	0	0	0	147.752701696846	73.5871913418156	0	0
o__Betaproteobacteriales;f__Neisseriaceae	0	0	0	0	0	0	0	0	61.1930639338203	0	0	0
o__Betaproteobacteriales;f__Nitrosomonadaceae	0	682.51342864875	0	0	0	0	0	0	0	0	0	0
o__Betaproteobacteriales;f__Rhodocyclaceae	0	0	0	0	0	426.329704027096	0	0	0	0	0	0
o__Betaproteobacteriales;f__SG8-41	0	0	0	0	0	54.1330300366338	76.5486931111197	0	0	0	0	0
o__Betaproteobacteriales;f__UKL13-2	0	0	0	0	0	91.3855034937384	62.7721389372584	0	0	114.526550711864	0	0
o__Bin65;f__	0	0	0	0	0	0	52.1174182601452	0	0	0	0	0
o__Bin98;f__	0	0	0	0	0	286.83292686727	0	0	0	0	0	0
o__Bradymonadales;f__	790.446447233209	0	0	0	240.666998415132	218.79176136957	0	28.3438510419986	209.009207893448	88.6135060401017	430.576367017743	0
o__Bradymonadales;f__GCA-2716585	0	0	0	0	0	0	49.6131778861874	0	0	0	0	0
o__Bryobacterales;f__Bryobacteraceae	0	0	0	0	0	288.313049519831	596.089548215752	904.217100465793	0	451.386301377049	557.550976148649	0
o__Burkholderiales;f__	0	0	0	0	0	0	40.747170256025	0	0	0	0	0
o__Burkholderiales;f__Burkholderiaceae	17591.0397392488	24760.4214302062	13749.9540779002	5977.59866381909	9758.90147338428	16838.8476428965	13082.9330115172	12144.3489475086	12367.4243547246	16380.9473978311	25661.6787887279	31144.4544451007
o__Burkholderiales;f__Chitinibacteraceae	0	0	0	0	492.935969266826	166.812191338696	0	0	0	0	0	0
o__Burkholderiales;f__Ga0077523	0	0	0	0	0	0	0	211.378074237348	274.842027796826	314.511913010636	0	0
o__Burkholderiales;f__Gallionellaceae	0	1136.8627517866	2145.88741419089	2833.08031982652	0	231.641750110806	945.03639560465	0	126.680572148562	0	0	0
o__Burkholderiales;f__Methylophilaceae	0	1244.3084240709	0	0	0	214.959244104439	376.296637056257	255.132921632234	448.858544666726	1062.36590529353	600.373583919996	1819.29908110052
o__Burkholderiales;f__Neisseriaceae	0	350.933935390599	0	0	199.785022000113	265.647655378077	372.490715551402	0	0	0	0	0
o__Burkholderiales;f__Nitrosomonadaceae	0	1217.4642411828	0	0	0	0	0	0	0	0	0	0
o__Burkholderiales;f__Rhodocyclaceae	0	0	0	0	0	84.3097430575635	2049.01040224204	4179.76483838819	1009.16137659739	108.645726564172	0	0
o__Burkholderiales;f__SG8-39	0	198.534999741402	0	0	0	0	0	0	0	0	233.177701091216	0
o__Burkholderiales;f__SG8-40	0	0	0	0	0	0	40.7413093575337	0	0	0	0	0
o__Burkholderiales;f__SG8-41	0	0	317.682406060578	0	219.004302757789	108.586784645111	472.809812739535	101.705929590947	0	140.889848194571	500.371447588145	0
o__Burkholderiales;f__Thiobacillaceae	0	0	0	0	0	0	118.100491974981	965.375158920478	206.78462792734	0	0	0
o__Burkholderiales;f__UBA11063	0	0	0	0	0	0	162.691360637877	0	0	280.789951766334	0	0
o__Burkholderiales;f__UBA3065	0	0	0	0	0	0	0	27.9452756263825	0	0	0	0
o__Burkholderiales;f__UKL13-2	1781.9257862584	0	0	0	644.876145956293	2064.79585841526	866.894096605785	47.2219719110506	71.9863094708589	991.763693902688	1715.19934723992	1191.78188215186
o__CSP1-4;f__UBA10416	0	234.228996037853	0	225.9706970869	0	89.3641261425776	185.55018639794	163.779021538543	73.9889183608602	75.1529119394803	0	0
o__Caenarcaniphilales;f__	0	0	0	0	0	0	46.8824380185034	764.955504123165	0	0	0	0
o__Caenarcaniphilales;f__Caenarcanaceae	0	0	0	0	0	206.452741052066	129.117385871729	140.26335976427	0	253.444189440738	569.895664890294	1942.58984998042
o__Caenarcaniphilales;f__LMEP-6097	0	0	0	0	0	0	212.817500146036	1397.89827254929	143.565891756164	76.0998981359504	0	0
o__Caldilineales;f__Caldilineaceae	0	0	0	0	0	0	0	1453.8735266213	2065.21546067176	283.855631496736	0	0
o__Campylobacterales;f__Sulfurimonadaceae	0	0	0	0	0	0	0	0	0	507.123398792522	0	0
o__Capsulimonadales;f__	0	0	0	0	183.673068056595	336.175012813779	111.69851214432	0	0	65.6283436273581	1390.81752020133	1184.15322979834
o__Caulobacterales;f__Caulobacteraceae	8745.76618203808	0	700.772531065728	1106.74041056136	2177.28658966415	6918.69019430078	3361.14198541798	751.91620044047	2064.68263404062	3276.19913637067	6524.2746692701	1854.25861055092
o__Caulobacterales;f__Hyphomonadaceae	0	0	0	0	0	927.67190566472	795.520141114153	5101.58296060201	2399.85981645382	1171.66621509327	1726.42699759216	0
o__Chitinophagales;f__	0	0	0	0	163.904753009667	100.611905256584	0	0	300.279246809445	0	0	0
o__Chitinophagales;f__Chitinophagaceae	3343.66888223019	5567.6109130228	3079.61364496044	0	33928.1971886	11322.0682579894	16310.2317259929	15328.8457515024	16150.3163876676	14111.9259529675	8000.3233269488	13396.0268864975
o__Chitinophagales;f__LD1	0	0	0	0	605.073903446116	5067.78192960345	514.972596837082	125.333104295812	253.270839729226	3271.53524698644	371.171616889838	1922.48036304227
o__Chitinophagales;f__Saprospiraceae	793.617820773955	243.357699426401	1057.58669839956	1719.03179080042	1568.87043208568	790.048473446658	1182.52936380902	2794.12183770636	1247.20909419451	519.119904392437	771.251041294146	1713.37892945918
o__Chitinophagales;f__UBA10324	0	0	0	0	0	0	153.771868220191	795.472800931357	741.167454920753	118.808729555478	0	0
o__Chitinophagales;f__UBA8649	3612.8590358741	240.374960406196	0	0	1273.71223446507	12096.5193663081	1525.24555238456	144.458834216454	682.499081328774	4142.47192410274	7324.15217065004	0
