Head	Spring	Clearwater	Early Summer	Late Summer	Fall	Ice-on
NA;NA	1272.71142747838	561.388113146687	461.295054176989	460.459221005999	1052.11885474663	1105.55089132661
o__2-01-FULL-39-13;f__	0	0	0	265.430945068411	0	0
o__2-12-FULL-49-11;f__2-12-FULL-49-11	0	0	0	89.2874696183004	68.9259110125324	0
o__2-12-FULL-49-11;f__RGXB01	0	0	0	158.008982062141	0	0
o__43-37;f__	0	0	42.90039381672	48.6191638718739	0	0
o__;f__	243.342348242776	0	1179.98701707356	1495.99604978796	125.208199283684	603.102207756122
o__AKYH767-A;f__OLB10	0	0	0	77.2356722578803	47.7024994221374	390.415108087602
o__AKYH767;f__2-12-FULL-35-15	0	0	0	14.8796850221648	0	178.912543615027
o__AKYH767;f__B-17BO	11023.894030907	3496.19910454265	1051.73606833942	4271.84878642944	2964.18506147927	3393.94546964735
o__AKYH767;f__JACMRI01	0	0	0	76.0030555749159	0	0
o__AKYH767;f__Palsa-965	0	0	32.2177495040909	728.841270611525	0	0
o__AKYH767;f__SXHM01	0	0	0	0	44.7853140794449	0
o__AKYH767;f__UBA4408	176.696788379915	0	150.321459093119	1431.0706814085	529.816721542018	0
o__Acetobacterales;f__Acetobacteraceae	75.3063892526952	167.279693596995	5077.80009690278	3099.95688476308	785.594875207818	0
o__Acidimicrobiales;f__	0	0	0	570.776434738464	0	0
o__Acidimicrobiales;f__Ilumatobacteraceae	14366.2255130579	11452.1332527881	14880.9173643228	16095.9965611089	21166.5013706683	9442.65991513019
o__Acidimicrobiales;f__Microtrichaceae	940.954649333267	142.485230169173	0	368.078700779296	42.0549864615633	248.155861777574
o__Acidimicrobiales;f__UBA8139	9110.16471442953	10826.1277587181	5521.76032219627	3362.36428896685	4174.30924192611	2742.36441054609
o__Actinomycetales;f__Microbacteriaceae	6315.09614108338	24852.0249918097	19817.241701257	1378.40902169383	3753.66749597164	6323.19655325305
o__Aggregatilineales;f__A4b	0	0	0	99.2415475584663	0	0
o__Armatimonadales;f__Armatimonadaceae	210.181775492045	620.720238354575	552.172416997877	0	980.80463175672	91.7232130893939
o__Azospirillales;f__	0	0	78.4854721859693	18.8299935918788	0	0
o__BD1-5;f__UBA2023	0	0	76.4323970065447	0	0	0
o__Babeliales;f__	0	0	0	19.6011289540276	0	0
o__Babeliales;f__Babeliaceae	0	0	0	122.796688866854	0	0
o__Babeliales;f__Chromulinavoraceae	0	0	0	96.9036910850191	0	0
o__Babeliales;f__GCA-2401785	0	0	0	491.512959162397	0	0
o__Babeliales;f__JABDEC01	0	0	0	13.8418952364053	0	0
o__Babeliales;f__RVW-14	0	0	0	335.013538707368	1908.92338546327	0
o__Bacteriovoracales;f__Bacteriovoracaceae	215.978483952261	0	0	194.255176567669	295.385185109154	367.301238271304
o__Bacteroidales;f__F082	0	0	0	56.0528667852277	0	0
o__Bacteroidales;f__Paludibacteraceae	0	0	80.5956006166231	141.186459271907	0	0
o__Bacteroidales;f__Prolixibacteraceae	0	0	0	30.9007298120113	0	0
o__Bacteroidales;f__TTA-H9	0	0	0	7.69840173602986	0	0
o__Bacteroidales;f__UBA4417	0	0	0	169.239392760599	0	0
