Head	1	2	3	4	5	6	7	8	9	10	11	12
Algavirales;Phycodnaviridae	3065.287257	7195.052986	4091.146368	8595.570859	41218.1457	36435.27119	18964.95668	16403.69348	8364.037304	7804.270658	8879.84783	935.7862259
Asfuvirales;Asfarviridae	0	0	0	0	104.0938556	36.94886108	29.81418537	25.10106585	70.99970157	106.9739057	48.46121645	3.733211472
Caudovirales;Ackermannviridae	406.050027	629.2906281	195.3699956	642.5056076	4262.536503	7522.709174	4041.703544	6195.615615	3377.781896	2515.177412	1633.527483	159.5202189
Caudovirales;Autographiviridae	1122.757106	3433.824524	2190.916631	10710.65733	19914.17706	26783.12709	35006.42818	83663.80612	37858.56427	11455.31459	5842.518187	400.3958119
Caudovirales;Chaseviridae	8.664518869	6.074829253	8.653415832	7.912816834	80.51311493	66.07086376	188.8950307	571.3878936	227.9470133	175.2923053	61.3174411	0
Caudovirales;Demerecviridae	462.620825	148.5173811	146.2402102	1002.136254	3040.272433	8229.453566	3811.934567	5258.511524	1962.317164	1013.479615	612.3560349	129.945669
Caudovirales;Drexlerviridae	95.58737225	117.6802873	51.03934751	88.85313589	558.4641938	1460.839679	801.8613716	2446.74425	891.8671355	636.6195262	509.4744607	8.74319055
Caudovirales;Guelinviridae	0	0	0	0	22.16846631	0	27.74221948	28.80269103	28.90117543	12.31683085	0	0
Caudovirales;Herelleviridae	320.5027837	957.871505	519.5551335	836.6374202	5722.068457	8634.170374	6383.139612	12025.39172	5137.681629	2620.121801	2077.500225	115.4061919
Caudovirales;Myoviridae	24426.97139	48748.14744	19643.35875	38828.14088	243857.2224	470070.2153	350024.2241	506662.9802	245589.6334	169045.9279	97550.8364	8480.683398
Caudovirales;NA	47390.75761	103072.1359	55382.59591	114639.2358	567075.837	947207.8537	848008.7318	1638615.654	761579.2656	354032.1107	211685.9544	15360.87337
Caudovirales;Podoviridae	4891.566179	7986.027157	6710.002765	11359.59154	44129.57322	84725.33656	70413.74605	121298.4631	53707.69682	25290.93103	16049.44418	868.3870314
Caudovirales;Rountreeviridae	0	0	0	5.392046335	272.2853275	300.1620239	40.12357214	50.57235063	0	0	0	0
Caudovirales;Salasmaviridae	0	0	3.59451982	191.3794799	10.06352087	8.128459259	11.6802477	76.91308623	120.3098635	10.19097181	19.80604667	0
