Head	1	2	3	4	5	6	7	8	9	10	11	12
o__16-39-46;f__	0	0	0	0	0	0	35.83743199	0	0	0	0	0
o__2-01-FULL-39-13;f__	0	0	0	0	0	0	0	0	4.331775903	0	0	0
o__2-12-FULL-49-11;f__	0	0	0	0	0	0	0	24.44410779	0	0	0	0
o__AKYH767-A;f__OLB10	0	0	0	0	0	0	0	3.38080229	0	0	0	0
o__AKYH767;f__	0	0	0	0	6.100162952	60.92636227	217.1703015	2374.397181	569.0601215	76.49957367	33.4959203	0
o__AKYH767;f__B-17BO	219.8041548	197.3075596	97.25290819	228.5012808	1295.501425	2027.885763	1343.544608	2330.496868	878.5774178	461.9958372	580.7332736	36.37110497
o__AKYH767;f__GCA-2737665	0	0	0	0	0	5.034387526	0	5.858424895	40.18096017	0	0	0
o__AKYH767;f__Palsa-965	0	0	0	0	0	0	0	0	27.04656475	0	0	0
o__AKYH767;f__UBA4408	0	0	0	0	0	0	19.1486152	12.5935911	2.860361111	4.567566351	0	0
o__Acetobacterales;f__	0	0	0	0	0	74.13313102	226.6163173	367.7296432	159.0239655	92.7001917	215.8437656	0
o__Acetobacterales;f__Acetobacteraceae	4.224668535	0	0	26.68298384	99.33134787	1081.660692	1235.884825	2198.122534	1434.889073	140.5978699	82.80904385	0
o__Acidimicrobiales;f__	0	0	0	0	0	0	0	110.3063563	33.13684444	0	0	29.73028676
o__Acidimicrobiales;f__Ilumatobacteraceae	138.0366107	193.7684328	631.2983017	880.6819472	1717.010401	1079.791388	1016.772682	1033.577177	1102.518229	1032.087675	680.5107453	22.49781271
o__Acidimicrobiales;f__Microtrichaceae	0	0	8.234764081	5.657053051	4.406760672	0	24.93091913	12.97103537	20.4163331	0	0	0
o__Acidimicrobiales;f__UBA8139	0	17.68922221	81.22044752	105.8135379	376.1093971	274.923954	62.42109081	49.37816151	33.11429455	85.95036915	50.10889278	6.647521128
o__Actinomycetales;f__Microbacteriaceae	84.7159137	10.82528643	58.72120038	131.0739983	1155.39304	2189.679097	588.2291684	291.6428946	70.1125934	93.82950486	163.1807365	41.09622105
o__Azospirillales;f__	0	0	0	0	0	115.5319767	38.26286703	17.81700989	13.4880775	12.62104226	19.57626256	0
o__Azospirillales;f__Azospirillaceae	0	0	0	0	0	0	0	0	2.037826221	0	0	0
o__Azospirillales;f__Inquilinaceae	0	0	0	0	0	0	40.12349503	0	0	0	0	0
o__Babeliales;f__GCA-2401785	0	0	0	0	0	0	25.34057479	0	0	0	0	0
o__Babeliales;f__RVW-14	0	0	0	0	0	0	0	0	0	15.54367559	0	0
o__Bacteriovoracales;f__Bacteriovoracaceae	0	17.31034386	3.106394495	0	4.904035578	0	0	5.711154819	18.41136094	0	9.237157781	0
o__Bacteroidales;f__F082	0	0	0	0	0	0	0	13.81426326	0	0	0	0
o__Bacteroidales;f__Lentimicrobiaceae	0	0	0	0	0	0	0	47.71158769	0	0	0	0
o__Bacteroidales;f__Paludibacteraceae	0	0	0	15.75210241	116.1994339	3.416229411	48.74494457	0	0	0	0	0
o__Bdellovibrionales;f__Bdellovibrionaceae	0	109.7792686	0	0	424.7905246	16.62507393	13.60755469	30.33374052	5.477790227	1249.165864	239.635948	0
o__Betaproteobacteriales;f__Burkholderiaceae	0	28.30692806	9.618275352	18.27583454	99.56574738	731.5236521	243.3845369	145.6637592	91.0787919	59.60569727	21.03438921	7.548179515
o__Betaproteobacteriales;f__Methylophilaceae	0	0	0	0	0	0	0	0	0	118.9934983	0	0
o__Betaproteobacteriales;f__Neisseriaceae	0	0	0	0	0	0	0	0	11.57847106	5.401100922	0	0
o__Betaproteobacteriales;f__Nitrosomonadaceae	160.8504778	494.4926156	676.9712725	89.4282611	80.56581996	296.1059613	47.92709281	206.093058	63.53260365	16.87013685	37.96001354	0
o__Betaproteobacteriales;f__UKL13-2	0	0	0	6.327050328	0	171.5763194	71.28632921	0	0	0	0	7.922899112
o__Bin98;f__	0	0	0	0	0	91.37504325	0	0	0	0	0	0
o__Bradymonadales;f__	10.69966829	0	0	0	19.01211209	21.04039742	3.439933238	0	2.950468938	31.0450415	3.840192364	0
o__Bryobacterales;f__Bryobacteraceae	0	0	0	0	24.24855681	642.5205719	606.620358	992.8967452	451.0428454	80.67140692	25.13300186	0
o__Burkholderiales;f__	5.022074922	0	6.005792643	0	17.50052789	61.95985457	6.450449923	47.53188779	0	18.01177793	9.96771763	0
o__Burkholderiales;f__Burkholderiaceae	273.9573386	722.0843733	360.0635332	477.4270451	1757.530222	6692.424309	2880.313242	8280.415585	4170.737096	1635.295679	924.5232022	201.3834151
o__Burkholderiales;f__Chitinibacteraceae	0	0	0	0	76.09954223	190.3117106	0	0	0	0	0	0
o__Burkholderiales;f__Ga0077523	2.803871005	0	0	0	0	0	0	26.50489663	18.78369995	0	0	0
o__Burkholderiales;f__Gallionellaceae	0	20.81837187	77.91701376	55.09381903	0	26.83535772	5.905155491	0	0	0	0	0
o__Burkholderiales;f__Methylophilaceae	0	0	0	0	0	0	14.65324327	10.0029955	4.404460762	19.4827655	7.425625365	0
o__Burkholderiales;f__Neisseriaceae	0	0	0	0	105.1904708	201.2205552	11.15722779	0	0	47.55230696	0	0
o__Burkholderiales;f__Rhodocyclaceae	0	0	0	0	0	3.516648943	366.542681	2233.337978	290.2433486	0	0	0
o__Burkholderiales;f__SG8-40	0	0	0	0	0	0	3.870043877	0	0	0	0	0
o__Burkholderiales;f__SG8-41	0	18.79400277	6.167840848	0	0	0	0	6.589401602	4.191987461	0	0	0
o__Burkholderiales;f__Thiobacillaceae	0	0	0	0	0	4.392211738	25.3786098	150.4151533	11.29588515	0	0	0
o__Burkholderiales;f__UBA11063	0	0	0	0	0	7.220557044	14.49197372	23.79831204	24.40997495	29.59592133	0	0
o__Burkholderiales;f__UKL13-2	24.01152193	0	15.3757891	12.40759787	126.7722651	2681.553085	558.2235171	19.9889804	12.07776461	412.9375656	412.8073891	75.67015796
o__CSP1-4;f__UBA10416	0	8.52973882	32.97473981	18.84099373	90.21353542	104.9438965	132.5406137	129.0528421	7.568495051	105.0960879	37.3526417	25.93753145
o__Caenarcaniphilales;f__	0	0	0	0	0	0	106.8448272	144.356934	35.1790285	0	0	0
o__Caenarcaniphilales;f__Caenarcanaceae	21.28976467	17.93620568	10.75118221	0	70.4900725	1758.210611	284.3048737	206.9684077	11.06024116	254.2762277	243.4293213	37.788277
o__Caenarcaniphilales;f__LMEP-6097	0	3.573022622	0	6.691874434	40.97327433	246.517554	329.0292764	443.0159549	84.02270204	99.10459921	64.21936484	0
o__Caldilineales;f__Caldilineaceae	0	0	0	0	0	0	10.42291451	1138.945727	635.445747	89.18845248	8.864486855	0
o__Campylobacterales;f__Sulfurimonadaceae	0	0	0	0	0	0	0	0	0	46.67276165	0	0
o__Capsulimonadales;f__	0	0	0	0	81.63933901	283.5957463	37.33273128	0	0	37.24434145	90.30479626	17.56579161
o__Caulobacterales;f__	0	0	0	0	0	0	0	0	4.241040408	4.217587268	0	0
o__Caulobacterales;f__Caulobacteraceae	19.36662686	7.597812573	25.67257279	31.3333852	243.3296456	1597.538547	730.8115135	499.4370396	337.9233586	290.4213094	316.4702189	11.72008482
o__Caulobacterales;f__Hyphomonadaceae	3.743909977	0	0	6.69112596	0	156.3676451	277.5039129	5548.28815	1956.079164	314.9118552	142.1550081	0
o__Chitinophagales;f__	0	4.966420564	0	0	286.7153783	388.5020939	153.6400554	271.5883689	190.7373336	307.2524113	18.24892317	25.8187355
o__Chitinophagales;f__Chitinophagaceae	316.5240382	496.48414	341.7075021	409.7118198	2416.538294	4533.660118	3328.94912	4185.286734	2852.134206	2148.600606	1457.085653	52.46230169
o__Chitinophagales;f__LD1	0	29.11729177	0	0	45.75401983	142.9307545	120.155593	133.3325349	331.3136641	478.9626144	150.6164358	0
o__Chitinophagales;f__Saprospiraceae	407.6285926	573.6114308	142.0037911	166.1031941	1125.084678	1752.238774	1488.938056	2750.375063	1177.274723	581.1706474	533.2992351	45.85649669
