Sample	Mean	Std
1	3797.9	1921.152574
2	6409.7	1744.036891
3	10099.8	2218.84809
4	12842.1	1992.192731
5	15926.4	2773.334503
6	18780.2	3673.440706
7	21362.2	3929.655507
8	25208.8	4480.752685
9	27715.3	4927.107108
10	29914.7	5912.977348
11	32620.4	5848.02989
12	34946.6	6420.511977
13	36908.9	6102.539316
14	38804	6006.968546
15	40553.3	5771.716056
16	42992.6	5940.572105
17	45599.8	5572.201217
18	49285.6	6727.952143
19	51781.5	6769.013193
20	54629.4	6409.679039
21	57403.9	6437.300063
22	60043.9	5822.656256
23	62861.9	5906.898706
24	66169.1	5809.156555
25	70088.4	5714.256328
26	73881.9	7595.630432
27	75663.6	7257.322742
28	77820.8	7221.265045
29	80372	8649.724787
30	82389.6	8904.742534
31	85722.8	10036.64013
32	87150.1	9429.210105
33	88861.3	9128.910718
34	91882.2	9388.480232
35	94126.2	9894.125314
36	96145.7	9655.177633
37	98427.7	9892.74822
38	101985	9465.095867
39	104235.3	9338.458355
40	106081.4	9372.266644
41	108792.5	8873.266469
42	110968.1	8480.106792
43	113025.6	8504.575229
44	115885.2	7612.473241
45	118109	7317.091483
46	120149.5	7423.487279
47	122225.7	7642.57115
48	124154.8	7393.053974
49	126185.9	7037.825555
50	128229	7359.698258
51	129869.5	7474.793736
52	132019.9	6812.433086
53	134392.7	6870.737095
54	136553.8	6926.800316
55	139981.8	8209.764265
56	141610.4	8585.50356
57	143614.4	8937.48691
58	145818.6	9459.829893
59	147712.8	9617.487461
60	150338.3	9182.311172
61	152392.5	7828.724889
62	154162.6	8241.794616
63	156129.3	8317.428663
64	158439.5	8929.448972
65	160211.3	8886.158601
66	163614.7	10254.3284
67	165923.3	11418.83258
68	167525.7	11308.0099
69	169902.9	11195.5056
70	171638.2	11034.37996
71	172982.1	10885.15267
72	174603.1	10476.32394
73	176158.8	10605.21077
74	177955	10594.03961
75	179713.6	10535.33665
76	181490.7	11341.27645
77	184367.4	11440.59124
78	185993.8	11890.76401
79	187451	11078.26468
80	189469.8	10621.56193
81	192089.9	11577.09211
82	193857.6	11557.97214
83	195867.2	11289.21045
84	197727	11529.74196
85	199562	12193.86345
86	201449.5	12492.76202
87	203279.4	12388.42668
88	205976.2	12377.69254
89	207515	12827.14013
90	209060.9	12611.10714
91	210975	12786.71938
92	212375.8	12319.36245
93	213852.4	12327.16647
94	215804.6	12734.96815
95	218597.7	13644.39927
96	220459	13531.14636
97	222896.2	13690.83461
98	224605.1	13964.50357
99	226221.4	14235.92731
100	227895.1	14394.16037
101	229568	14005.92176
102	231268.3	14089.05083
103	232558.5	13931.71021
104	235090.5	15106.96661
105	237529.2	15476.29797
106	239385.2	14869.71627
107	241990.7	15749.77637
108	244114.3	16752.83583
109	246364.4	16859.84914
110	248343.6	16841.98477
111	249863.3	16442.58831
112	252018.3	16431.36153
113	253884.5	16525.75302
114	256193.1	16622.78356
115	258871.8	15624.9038
116	261004	15711.91456
117	263341.1	15440.43874
118	264909.6	15920.27742
119	266443	16196.03412
120	268616.4	16139.54846
121	270643.7	15758.5709
122	272674.8	14377.91379
123	274712.5	15322.94329
124	276660	15652.35238
125	277840.5	15750.46435
126	279241	15543.20665
127	281036.7	15181.92069
128	282543.2	15491.97231
129	284460.7	14617.99497
130	286696.4	13802.58424
131	289000.2	12276.44817
132	291022.5	13057.81694
133	292416.8	13376.42923
134	294924.2	12842.38225
135	296938.4	12738.49061
136	298680	13314.2347
137	301106.8	13863.89024
138	302712.5	13767.72739
139	304386.5	13549.34694
140	305981.3	14009.19482
141	308147	13845.76634
142	309587.6	13981.37485
143	311163	14436.12689
144	312927.8	14476.64425
145	315185	14415.38588
146	316817.6	14721.86429
147	318057.2	14733.42191
148	319133.2	14791.30151
149	320548.8	14853.09419
150	323318.4	15483.03719
151	325403.8	15859.34927
152	327138.2	15189.56686
153	329357.6	14579.49235
154	331491.2	15173.97806
155	333400.7	15712.51629
156	335411	15710.99731
157	337752.9	16461.29996
158	339566.2	16642.79797
159	341349.4	16703.85182
160	342581.8	16244.62101
161	344496.5	16017.39023
162	346316.5	16122.17512
163	348723.1	16600.79873
164	351178.3	15158.42349
165	352864.8	15247.62839
166	354324.6	15170.37487
167	355855.8	14981.90066
168	357729.7	14913.72952
169	359660.2	14768.45759
170	362215	14957.07594
171	363951.1	14882.89255
172	366153.5	15218.28404
173	367904.9	15332.36789
174	369705.9	15395.5688
175	371541.9	15592.10851
176	373699.3	15456.8248
177	375460.3	14977.13034
178	377725.4	15507.03947
179	380401.4	14639.65841
180	382136.2	14189.07014
181	383286.7	13964.48162
182	384552.6	13587.70331
183	386039.8	13482.44396
184	387513.1	12919.97598
185	389142.7	13607.2714
186	391278.5	13581.40137
187	393192.7	13503.14174
188	395167.3	13284.53908
189	397584	13517.33399
190	399324	14172.50401
191	400256.2	14200.82918
192	401796.4	14519.16127
193	403581.3	13569.38708
194	404909.2	13479.11616
195	406241.8	13480.37742
196	407484.9	13680.31384
197	408925	13984.17104
198	411183.5	12719.46705
199	412894.4	13226.51654
200	415112.3	13354.17183
201	417634.7	13884.21456
202	418770.7	13879.79488
203	420326.9	14301.65974
204	421756.8	14506.6289
205	423177.4	14939.11192
206	425494.3	15680.87171
207	426871.2	15782.75758
208	429269	16437.68943
209	430944.2	16193.53013
210	432812.1	15813.64171
211	435518.2	14589.06371
212	437204.7	15084.47405
213	438301.2	15250.97542
214	439651.7	15176.7717
215	441294.2	15675.18763
216	442562.5	15943.83324
217	444288.5	16448.00749
218	445570	16267.85859
219	447019.2	16055.46497
220	448405.3	15854.34107
221	449950	15664.44722
222	451310.5	15860.58887
223	452640	15661.6109
224	453819.4	15715.32687
225	454923.6	15797.88017
226	456355.1	15611.11459
227	457739.8	15732.84169
228	459026.6	15955.05592
229	460667.5	15619.01401
230	462590.6	16207.75095
231	463604.6	16095.60262
232	464586.6	15884.38232
233	466093.9	15888.69417
234	467036.1	15881.44011
235	469277.9	15441.05459
236	470579.3	15906.01136
237	472256.3	15874.02513
238	473563.6	16048.20456
239	474648.8	15874.7978
240	476107	15684.9057
241	477793.6	15459.74129
242	479111.9	15153.59433
243	480306	15396.67684
244	481448.2	15299.545
245	482676.4	14837.5615
246	483798.1	14636.19261
247	485074.6	14649.07985
248	486000.5	14655.92692
249	487512.1	15063.43272
250	489724	14955.56035
251	491016.9	15704.18774
252	492660.3	15731.85728
253	494223	15080.88993
254	495720.2	15181.87391
255	496744.6	15016.80609
256	497646.5	14851.50693
257	499399.8	15782.8364
258	500116.7	15707.69613
259	501839.5	15739.66906
260	503521.5	15423.9368
261	504863.7	15434.90595
262	505723.1	15343.90595
263	506973.8	15169.46032
264	508089.6	15029.50709
265	509765.2	14645.04172
266	511035.1	14938.44902
267	512363.5	15647.92648
268	513689.3	15883.78861
269	514590.3	15738.36734
270	515833.5	15821.29071
271	517584.3	15872.20177
272	519207.1	15709.9473
273	520670.8	15843.34109
274	521830.6	15936.30249
275	523532.4	16086.8665
276	524893	15836.266
277	526325.3	15988.32632
278	527270.9	16259.23521
279	528744.4	16379.09613
280	530244.6	16074.61913
281	531134.3	16069.10214
282	532815.2	14645.73541
283	534760	15242.62384
284	536178.1	15305.15751
285	537962.2	15451.1682
286	539344.5	15180.28208
287	540303.5	14981.06866
288	541759.2	14467.10029
289	543063.1	14459.96844
290	545149.8	14000.92443
291	546209.7	14117.38304
292	547283.9	14017.25929
293	548341.2	14381.35807
294	549720	14789.20361
295	550941.3	14787.86952
296	552154.8	14959.41412
297	553202.7	14815.57487
298	554587.3	15005.48717
299	556002.7	15113.53763
300	557041.4	15337.46826
301	558675.2	13911.32643
302	560109.3	13271.08703
303	561672.7	13461.56403
304	563560	13135.12407
305	564329.6	13024.43567
306	565351.3	12733.95151
307	567052.3	12899.96825
308	568644.4	11260.19584
309	569647.7	11311.63773
310	570471.3	11365.16583
311	571645.5	11541.35701
312	572513.6	11332.39341
313	573507.8	11534.42994
314	574730.2	11280.22988
315	576187.5	11694.16336
316	577311.4	11789.54182
317	578785.9	11110.52385
318	580345.8	11353.2689
319	581419.6	11235.5237
320	582717.1	11295.22807
321	583973.5	10897.86015
322	585167.1	10712.62956
323	586079.5	10451.83733
324	587286	10335.49347
325	588173.9	10496.00658
326	589072.3	10551.4174
327	590363.2	10644.44794
328	591516.6	11111.86737
329	592785.7	10418.81202
330	593932.1	11004.58024
331	594897.4	10829.69777
332	596167.7	11169.71984
333	597484.1	10529.16603
334	598325.3	10581.59501
335	599807.4	9838.817625
336	600623.3	9496.66104
337	601595.1	9461.951718
338	602413.8	9491.568888
339	603688.2	9760.817256
340	604633.6	9514.610907
341	606111.8	9370.987234
342	607582.5	8556.189238
343	608555.4	8458.496809
344	609536	8463.27411
345	610651.5	8044.431038
346	612675.6	7635.940373
347	613845.8	7582.820991
348	615374.2	6429.656718
349	616268.3	6541.601181
350	617780	7075.139763
351	618976.9	7161.08076
352	620352.4	6916.510154
353	621913	6010.934148
354	623258.7	5920.506135
355	624490.7	5819.778023
356	625662.3	6239.582163
357	626548.7	6264.636924
358	627606.2	6088.476945
359	628331.4	6072.238214
360	629044.3	6355.980334
361	630551.1	6610.370312
362	631581.8	6577.668631
363	632684.1	5990.100583
364	633844.1	5975.238469
365	635533.9	6369.720602
366	636551.3	6132.0852
367	638040.6	5832.793103
368	638805.1	5782.039115
369	639958.5	5794.255263
370	640768.5	5932.363465
371	641852.3	5688.4757
372	642579.5	5850.758113
373	643652.6	5566.594734
374	644835.2	5157.375599
375	646036.8	5131.23396
376	647563.6	4585.937108
377	648522.9	4323.539868
378	649457.7	4259.998149
379	651016.7	4427.968811
380	652291.9	4341.479022
381	653364.9	4057.969428
382	655045.3	3506.755134
383	656507.4	3925.780636
384	657746.2	4436.613268
385	658661.6	4455.901086
386	659482.6	4494.873925
387	660314.3	4564.112328
388	661877	4066.778496
389	662697.9	4038.812324
390	663669.1	4199.139818
391	664819.8	3821.792418
392	666412.4	3437.762716
393	667287	3580.634053
394	668300.7	3333.344668
395	669811.9	3952.487359
396	670563	3895.587219
397	671470.6	4208.417179
398	672516.3	4186.408698
399	673188.3	4341.425574
400	674597.6	4366.645476
401	675737.5	4585.200935
402	676690.5	4566.567499
403	677889.2	4634.701544
404	679384.7	4964.394806
405	680969.1	5210.868139
406	682267.5	5512.935198
407	683460.8	5118.649839
408	684274.3	5139.319541
409	685520.8	4907.770773
410	686272.8	4825.82384
411	687597.8	5431.134929
412	688578.8	5388.522675
413	690162	5305.103078
414	691600.6	4987.252332
415	692560.9	5375.081445
416	693678.8	4895.164435
417	694997	4483.065965
418	695625.8	4491.384909
419	697056	4595.155589
420	698418.4	3975.370736
421	699393.6	3783.052007
422	700233.4	3810.748635
423	700793.2	3908.338971
424	701674.3	3834.637895
425	703164	4291.194783
426	704524.6	4284.733214
427	705862.7	3717.804043
428	706733.6	3845.855351
429	707570.1	3557.418179
430	708813.8	3672.941383
431	710067.3	4244.326044
432	711033.1	4181.421833
433	711963	4355.062622
434	712876.1	4788.36793
435	714659	4291.170444
436	715604.2	3991.393569
437	716461.9	4177.412741
438	717334.3	4180.461273
439	718264.7	4227.828233
440	719283.3	4313.902643
441	719992.4	4352.430769
442	721368.9	3438.007577
443	722699.2	3432.911197
444	723497.3	3348.647623
445	724431	3107.916451
446	725534.7	2541.156738
447	726905.2	2536.945574
448	727981.4	2283.161804
449	728878.8	2334.400413
450	729959.3	2204.609719
451	731322.3	2728.498897
452	732113.8	2682.967834
453	733125.3	2291.917104
454	734447.7	2576.312656
455	735555	2546.202532
456	736482.5	2346.26887
457	737712.1	2335.647778
458	738346.6	2267.803695
459	739246.5	2089.563285
460	740072.9	1931.527171
461	741016.6	1861.397277
462	742045.6	1565.257182
463	743198.5	794.3579168
464	744061.8	408.8715636
465	744838	0
