Head	Spring	Clearwater	Early Summer	Late Summer	Fall	Ice-on
Alsuviricetes;NA;NA	176.4603728	178.2028215	47.08293508	42.82268777	140.9935401	82.30489048
Arfiviricetes;Cirlivirales;Circoviridae	0	17.59795531	0	0	0	0
Arfiviricetes;Cirlivirales;NA	42.63213985	65.46152026	0	21.3025703	117.343865	89.68396941
Arfiviricetes;Cremevirales;NA	0	7.88322699	7.263565471	19.96238006	0	0
Arfiviricetes;Mulpavirales;NA	0	0	0	8.235297271	25.89901947	0
Caudoviricetes;Ackermannviridae;NA	293.6422273	499.3855547	223.1323456	191.0294528	1070.381808	325.9314638
Caudoviricetes;Autographiviridae;NA	299.752464	1064.596388	348.6710517	88.6230796	11523.98523	2815.113858
Caudoviricetes;Crassvirales;Crevaviridae	38.82166769	51.04849156	9.238419113	32.07157726	35.02221633	21.00096691
Caudoviricetes;Crassvirales;Intestiviridae	45.84044949	94.26975482	39.3063461	7.357542682	248.8667633	0
Caudoviricetes;Crassvirales;NA	11525.16992	21521.3216	7169.185597	3183.805144	34437.85586	5734.84622
Caudoviricetes;Crassvirales;Steigviridae	426.8931239	1029.910297	334.8413027	154.6025006	1517.330587	141.4225317
Caudoviricetes;Crassvirales;Suoliviridae	93.29913289	312.9338965	92.13618904	61.14656781	651.2559564	43.17460286
Caudoviricetes;Demerecviridae;NA	805.4425904	2954.972155	409.7525379	222.1264976	2787.072112	813.0064842
Caudoviricetes;Drexlerviridae;NA	25.81764852	63.86989156	71.54936143	7.911843854	162.8325732	0
Caudoviricetes;Herelleviridae;NA	168.0537959	429.8815288	192.2608534	25.13355155	980.0588597	26.74625289
Caudoviricetes;Kirjokansivirales;Haloferuviridae	3.904505481	0	0	0	0	0
Caudoviricetes;Kyanoviridae;NA	1190.863098	2136.321521	2351.597984	1264.383602	21395.69384	502.7297429
Caudoviricetes;Mesyanzhinovviridae;NA	7.662701861	9.424050676	13.42167951	0	35.8939355	0
Caudoviricetes;Methanobavirales;Leisingerviridae	0	5.321959346	0	0	0	0
Caudoviricetes;NA;Ackermannviridae	668.7131486	1040.569055	362.4303993	263.5206259	2294.422883	164.6782155
Caudoviricetes;NA;Aggregaviridae	32.42604235	49.14999341	58.76270724	15.46401885	105.9174308	0
Caudoviricetes;NA;Assiduviridae	141.156977	171.0458174	61.37356388	18.9241076	1100.475113	64.03658657
Caudoviricetes;NA;Autographiviridae	5156.583252	7659.559765	3518.801017	2118.600911	63394.717	9213.497963
Caudoviricetes;NA;Casjensviridae	145.4292191	332.6318011	84.70755676	38.06238303	901.6115084	176.5916303
Caudoviricetes;NA;Chaseviridae	7.276927023	16.93790743	8.024715403	0	87.62581298	0
Caudoviricetes;NA;Demerecviridae	1023.779449	1841.856466	237.64435	216.6234635	1640.848862	450.9092056
Caudoviricetes;NA;Drexlerviridae	3.456636602	27.71273952	38.94849042	5.153675214	95.47837111	21.60183228
Caudoviricetes;NA;Duneviridae	93.74366124	161.096763	165.4475858	25.77701467	185.8020875	40.77130229
Caudoviricetes;NA;Forsetiviridae	27.64431474	8.47982504	26.64730107	2.86262956	32.26762548	0
Caudoviricetes;NA;Guelinviridae	10.20400482	0	7.714678917	0	24.66671834	0
Caudoviricetes;NA;Helgolandviridae	5.431183649	6.225586947	9.611294152	0	14.60387451	0
Caudoviricetes;NA;Herelleviridae	843.8559634	728.73833	562.3975723	164.5834659	1548.381648	247.0331574
Caudoviricetes;NA;Kyanoviridae	9382.270446	13197.9088	7962.993623	3941.633897	57221.90262	2818.459849
Caudoviricetes;NA;Mesyanzhinovviridae	103.6691332	268.0431246	95.19535112	87.80156456	773.7635708	21.79975791
Caudoviricetes;NA;Molycolviridae	71.53574214	57.34720875	55.58544949	8.521395631	99.08327604	5.630725926
Caudoviricetes;NA;NA	1716434.823	2526417.784	1189247.953	484342.5687	7225563.931	566615.0612
Caudoviricetes;NA;Naomviridae	586.6069075	852.828736	1220.096645	53.00165813	1214.382468	82.79491753
Caudoviricetes;NA;Orlajensenviridae	193.2256611	597.5542942	30.22259538	27.10994718	397.9587808	39.63733302
Caudoviricetes;NA;Pachyviridae	40.28686226	161.0549426	208.3972598	26.13460479	308.0192378	40.7585541
Caudoviricetes;NA;Peduoviridae	607.4334009	2097.282346	1076.353032	73.74237798	3646.519576	171.3694252
Caudoviricetes;NA;Pervagoviridae	50.43749709	210.7598021	26.3725066	57.30980228	261.4100944	61.81357325
Caudoviricetes;NA;Rountreeviridae	3.243769903	11.35842887	0	0	13.88243622	0
Caudoviricetes;NA;Salasmaviridae	0	5.609044223	0	0	0	0
Caudoviricetes;NA;Saparoviridae	12.12666779	9.583782946	2.91308386	0	137.7904384	4.815018134
Caudoviricetes;NA;Schitoviridae	283.9183205	435.1186903	316.6158905	84.9359044	1598.874831	195.8573507
Caudoviricetes;NA;Straboviridae	681.9014663	973.2856878	387.6677333	133.7901688	1239.97854	185.5184835
Caudoviricetes;NA;Vilmaviridae	65.8135759	74.19978268	72.9919659	38.60551997	278.405526	67.68116718
Caudoviricetes;NA;Winoviridae	114.8138062	199.9534407	40.0359213	31.0240132	734.5335906	122.7137797
Caudoviricetes;NA;Zierdtviridae	4.948258991	0	0	0	62.43846049	0
Caudoviricetes;NA;Zobellviridae	502.9886846	777.0136241	307.4136324	28.75615263	1521.740831	100.7258829
Caudoviricetes;Peduoviridae;NA	0	0	0	2.53666356	0	0
Caudoviricetes;Schitoviridae;NA	40.05545566	776.5781513	127.6885115	21.65408312	364.5583799	76.54667334
Caudoviricetes;Straboviridae;NA	754.3194583	805.8703299	1847.327666	1258.426732	1346.333845	183.47963
Caudoviricetes;Thumleimavirales;Druskaviridae	5.581430971	4.248307613	11.84601642	0	68.47071801	0
Caudoviricetes;Thumleimavirales;Hafunaviridae	30.05116511	232.6825098	49.71562472	6.298753734	413.6371125	22.00315757
Caudoviricetes;Thumleimavirales;Halomagnusviridae	0	5.368905241	6.214311257	0	24.10918714	0
Caudoviricetes;Thumleimavirales;NA	6.17302367	0	0	0	109.2058972	0
Caudoviricetes;Vilmaviridae;NA	15.00854985	55.93687621	44.45390533	29.80150997	172.7798346	28.5197104
Caudoviricetes;Zobellviridae;NA	101.8804561	185.5359863	94.41109814	39.21112143	1053.941686	0
Faserviricetes;Tubulavirales;Inoviridae	418.6378812	581.0370615	639.6711348	85.89550076	2282.768233	209.8257498
Faserviricetes;Tubulavirales;NA	95.50967385	1395.855155	390.4767995	34.43393787	1866.698407	151.1444972
Faserviricetes;Tubulavirales;Paulinoviridae	0	0	0	0	0	10.99920959
Herviviricetes;Herpesvirales;Alloherpesviridae	0	2.89468441	0	0	40.57220311	5.756038878
Herviviricetes;Herpesvirales;Herpesviridae	14.21664227	76.30114178	65.49035065	35.02188875	75.21154946	56.02372132
Herviviricetes;Herpesvirales;NA	0	4.197276239	0	13.1620551	54.47110615	3.3495823
Malgrandaviricetes;Petitvirales;Microviridae	1059.43294	1768.421687	557.8777913	23.73047778	3427.420892	164.9879228
Malgrandaviricetes;Petitvirales;NA	66.12502337	452.9560478	8.821567631	4.81771426	304.0398858	0
Maveriviricetes;Priklausovirales;Lavidaviridae	2764.581095	2608.199798	517.153245	381.0541483	7054.432475	2180.838558
Maveriviricetes;Priklausovirales;NA	658.2200594	544.2576917	218.6915303	155.7310658	1744.938776	1593.378688
Megaviricetes;Algavirales;NA	5359.251482	3543.311793	2683.076444	2514.924774	7554.522159	3434.947768
Megaviricetes;Algavirales;Phycodnaviridae	34758.69755	26095.70352	12165.3023	11851.50249	28825.81739	16760.71082
Megaviricetes;Imitervirales;Mimiviridae	8965.528623	5382.539886	4975.251831	4423.2192	13152.76095	6835.91567
Megaviricetes;Imitervirales;NA	2709.733082	2123.878265	2068.000526	1240.512961	5813.571682	1636.945056
Megaviricetes;NA;NA	14955.0587	9848.281224	6679.474163	7797.034926	14367.13314	13394.23388
Megaviricetes;Pimascovirales;Ascoviridae	0	15.93826295	0	0	26.20761618	18.06030369
Megaviricetes;Pimascovirales;Iridoviridae	917.1756524	638.0882373	257.5721487	175.9387343	3844.596646	371.5838944
Megaviricetes;Pimascovirales;Marseilleviridae	252.219378	372.6295363	1645.298227	237.4478559	9929.131236	301.9050298
Megaviricetes;Pimascovirales;NA	6021.681369	1403.202997	1360.400115	425.6332932	3241.355359	1268.238628
Monjiviricetes;Mononegavirales;Lispiviridae	11.37347373	0	0	0	10.97626122	0
NA;NA;Bicaudaviridae	139.8266975	152.2169213	138.4341922	19.09761171	310.8254551	86.10305995
NA;NA;Polydnaviriformidae	11.80019983	13.64382728	4.848554615	0	28.16734466	16.75753368
NA;NA;Spiraviridae	8.16173014	0	7.965257744	0	53.67750135	0
Naldaviricetes;Lefavirales;Baculoviridae	27.0290032	59.77179001	28.34225313	7.239595178	371.554432	0
Naldaviricetes;Lefavirales;Hytrosaviridae	9.053054223	11.61535038	10.22175096	0	7.867266107	0
Naldaviricetes;Lefavirales;Nudiviridae	6.107781778	42.29837843	5.334756861	0	29.96813428	0
Pisoniviricetes;Nidovirales;NA	0	0	0	0	4.154903157	0
Pokkesviricetes;Asfuvirales;Asfarviridae	64.45839099	3.589109469	83.73972352	0	189.4720095	77.75565748
Pokkesviricetes;Asfuvirales;NA	0	0	5.315157249	0	6.37001735	22.78741339
Pokkesviricetes;Chitovirales;NA	9.372012234	3.796207412	18.38739174	0	66.86064795	19.1513984
Pokkesviricetes;Chitovirales;Poxviridae	7.441874795	21.02702903	68.70690811	4.43664645	210.0821386	122.01446
Polintoviricetes;Orthopolintovirales;Adintoviridae	5.946275306	37.54078442	0	0	33.9888673	112.6582562
Polintoviricetes;Orthopolintovirales;NA	205.5995926	98.97988938	30.43581284	239.5486057	308.2068998	149.7740763
Quintoviricetes;Piccovirales;Parvoviridae	0	17.34687565	33.71512048	17.59681389	3.547807243	0
Repensiviricetes;Geplafuvirales;NA	0	0	5.128660959	0	0	0
Revtraviricetes;NA;NA	864.9126174	318.510009	261.7016067	55.32802582	123.1364931	157.6874178
Revtraviricetes;Ortervirales;Metaviridae	4.943678126	0	0	16.14159005	27.12847711	28.91169487
Revtraviricetes;Ortervirales;NA	0	8.78293185	0	0	0	0
Stelpaviricetes;Stellavirales;NA	0	15.40340222	0	0	0	0
Tectiliviricetes;Kalamavirales;NA	0	12.07357443	3.735560429	0	78.18473202	4.500471398
Tectiliviricetes;NA;NA	0	15.26310598	0	0	16.58277713	0
Tectiliviricetes;Rowavirales;Adenoviridae	29.84105497	154.1930393	116.0579327	0	34.63824742	0
Tectiliviricetes;Vinavirales;Corticoviridae	10.08296799	0	16.12352395	4.994843398	29.35079936	0
Tectiliviricetes;Vinavirales;NA	0	23.39759142	0	11.1499269	15.82178486	0
