Head	Spring	Clearwater	Early Summer	Late Summer	Fall	Ice-on
o__;f__Bacillaceae_G	123.0288541	160.8921327	21.44308567	24.15149978	366.7796982	31.2030479
o__;f__CAIKAF01	91.72549495	77.41849632	10.25103483	0	148.9372561	0
o__;f__Emcibacteraceae	0	0	0	0	4.297390901	0
o__;f__HTCC2089	0	0	0	30.45008311	0	9.723443005
o__;f__S36-B12	0	0	3.78889868	4.624843326	38.55766576	27.29580386
o__;f__UBA12327	0	6.707020099	4.951283784	0	0	0
o__0-14-0-20-30-16;f__0-14-0-20-30-16	0	0	0	0	4.335134426	0
o__2-12-FULL-49-11;f__2-12-FULL-49-11	0	0	0	0	4.575251903	0
o__2-12-FULL-49-11;f__RGXB01	0	0	34.37336537	0	7.682509497	0
o__40CM-2-53-6;f__RBG-13-38-9	0	0	25.80623405	0	0	0
o__4484-211;f__GCA-002791395	0	0	6.840901175	0	0	0
o__Absconditabacterales;f__X112	0	4.736200529	22.61569482	4.268108568	200.4207985	0
o__Acetivibrionales;f__Acetivibrionaceae	0	0	0	10.63012892	0	0
o__Acetivibrionales;f__DSM-8532	3.991115885	16.61007887	0	0	55.26551637	0
o__Acetobacterales;f__Acetobacteraceae	473.2371254	5293.767707	732.9689243	30.20197451	10508.37312	282.533195
o__Acholeplasmatales;f__Acholeplasmataceae	493.0674009	999.1015699	315.0183212	160.9632021	2019.343261	73.98692521
o__Acholeplasmatales;f__Anaeroplasmataceae	2.864214505	0	4.413269431	16.9433464	95.65964689	0
o__Acholeplasmatales;f__UBA5453	234.675082	338.0278549	24.73630004	33.56084676	288.5110417	33.46468671
o__Acholeplasmatales;f__WRBM01	0	0	0	0	19.14347826	0
o__Acidaminococcales;f__Acidaminococcaceae	9.767386833	0	0	0	11.40986165	0
o__Acidiferrobacterales;f__SPGG2	0	0	0	0	37.9328573	0
o__Acidiferrobacterales;f__Sulfurifustaceae	23.25569874	25.42779522	10.0264596	0	198.7244411	35.2615166
o__Acidimicrobiales;f__Bog-793	18.23408411	0	0	0	0	56.10619125
o__Acidimicrobiales;f__Ilumatobacteraceae	8847.76543	7774.442021	7149.696628	3864.110911	19695.59068	5935.018561
o__Acidimicrobiales;f__MedAcidi-G1	180.0838915	190.3239051	75.47452849	102.7765224	321.2660829	116.6274433
o__Acidimicrobiales;f__Microtrichaceae	0	0	0	0	58.3065458	18.08915741
o__Acidimicrobiales;f__RAAP-2	0	0	0	0	398.4377752	0
o__Acidimicrobiales;f__TK06	18.05763915	65.57490143	0	0	241.4659671	0
o__Acidimicrobiales;f__UBA11606	6.229986214	10.0226944	2.657822045	7.56062744	103.713123	24.89070067
o__Acidimicrobiales;f__UBA8139	968.4720588	810.7929168	266.2342154	175.3727298	1012.479694	1076.694327
o__Acidimicrobiales;f__UBA8592	16.31982376	251.1847492	53.93551561	14.94816925	1722.592322	4.228702347
o__Acidobacteriales;f__Acidobacteriaceae	256.5646796	270.8618937	351.1537513	56.55446333	1747.060652	53.03033778
o__Acidobacteriales;f__Koribacteraceae	33.48278888	53.47950491	31.50993356	13.59211387	423.481954	0
o__Actinomarinales;f__Actinomarinaceae	654.0344648	622.645111	398.2848603	122.7218413	2225.058093	161.5731887
o__Actinomycetales;f__Actinomycetaceae	162.3794198	92.70666876	301.3964541	57.15656432	1062.588997	4.280020558
o__Actinomycetales;f__Bifidobacteriaceae	419.8924643	274.8913939	146.5073625	7.612088947	2437.105669	179.4495542
o__Actinomycetales;f__Brevibacteriaceae	6.162743677	75.5303083	11.52656325	4.006894682	424.6572437	0
o__Actinomycetales;f__Cellulomonadaceae	51.97064577	170.5656552	6.680045503	0	112.1084537	0
o__Actinomycetales;f__Demequinaceae	0	0	0	5.833320581	29.22906782	0
o__Actinomycetales;f__Dermabacteraceae	0	0	0	5.238896516	0	0
o__Actinomycetales;f__Dermatophilaceae	13.17444352	0	26.90964965	7.110638349	34.12140939	58.10248711
o__Actinomycetales;f__Microbacteriaceae	5605.364285	6067.028535	1099.374297	444.3463556	4917.391715	647.9292893
o__Actinomycetales;f__Micrococcaceae	253.2145364	917.8249048	270.9929029	136.5908131	4530.089228	50.43417862
o__AKYH767;f__2-12-FULL-35-15	184.8278294	176.6166868	321.1479845	74.34494908	83.48695046	22.18129486
o__AKYH767;f__B-17BO	7115.272079	8811.661934	3405.552462	2404.013535	11128.128	2239.839628
o__AKYH767;f__JACMRI01	0	0	0	0	4.2732201	0
