Biology Entity	Environment	Correlation Coefficient	P-Value	is_significant
Cyanobacteria virus duration days	Temperature	0.7323170151483157	0.0019565348429604335	True
Cyanobacteria virus duration days	Dissolved oxygen	0.23230600178420888	0.43257174357183903	False
Cyanobacteria virus duration days	Secchi depth	0.7345294532605462	0.0018542724994528026	True
Cyanobacteria virus duration days	Chlorophyll a	0.21577279468363694	0.48816594936200053	False
Cyanobacteria virus duration days	Chloride	0.26106769724320616	0.37541238324383164	False
Cyanobacteria virus duration days	Sulfate	0.0973472769381447	0.7460212360664251	False
Cyanobacteria virus duration days	Calcium	0.41815080321157605	0.139571988019084	False
Cyanobacteria virus duration days	Magnesium	0.5110732039252596	0.06132044936528369	False
Cyanobacteria virus duration days	Sodium	0.362893417396839	0.22923079287867454	False
Cyanobacteria virus duration days	Potassium	0.17478261086621433	0.5580758469737233	False
Cyanobacteria virus duration days	Iron	0.06464905679858149	0.8299886428534069	False
Cyanobacteria virus duration days	Manganese	0.0	1.0	False
Cyanobacteria virus duration days	pH	0.4845239465784928	0.07941437463028778	False
Cyanobacteria virus duration days	Dissolved inorganic carbon	0.7054110595426593	0.005495626701974121	True
Cyanobacteria virus duration days	Total inorganic carbon	0.7192426489454565	0.004166693985824921	True
Cyanobacteria virus duration days	Dissolved organic carbon	0.4823115084662623	0.08106870462584559	False
Cyanobacteria virus duration days	Total organic carbon	0.5154980801497208	0.05861059187029394	False
Cyanobacteria virus duration days	Nitrate plus nitrite	0.11062190561152806	0.712575731928879	False
Cyanobacteria virus duration days	Ammonium	0.5331975850475652	0.04860128865071145	True
Cyanobacteria virus duration days	Total phosphorus	0.2876169545899729	0.3262923352343985	False
Cyanobacteria virus duration days	Soluble reactive phosphorus	0.2533339588500534	0.390388149383321	False
Cyanobacteria duration days	Temperature	0.7306914481821845	0.002034460203914845	True
Cyanobacteria duration days	Dissolved oxygen	0.33775163616880427	0.24362752857947734	False
Cyanobacteria duration days	Secchi depth	0.7130312319119201	0.0030483697374548147	True
Cyanobacteria duration days	Chlorophyll a	0.2758644307162943	0.37048889592333767	False
Cyanobacteria duration days	Chloride	0.22296023041208649	0.45198621723767296	False
Cyanobacteria duration days	Sulfate	0.03311290550674552	0.9125178293092289	False
Cyanobacteria duration days	Calcium	0.40397744718229534	0.15536942402942167	False
